Country,ISO3,Species,SpeciesID,SourceID
Italy,ITA,Lophelia pertusa,985,5
Italy,ITA,Madrepora oculata,1006,1
Italy,ITA,Paramuricea macrospina,1170,5
Italy,ITA,Swiftia pallida,1511,5
Italy,ITA,Desmophyllum dianthus,702,19
Jamaica,JAM,Balanophyllia (Balanophyllia) floridana,233,16
Jamaica,JAM,Rhizosmilia maculata,1323,16
Jamaica,JAM,Deltocyathus eccentricus,648,11
Jamaica,JAM,Enallopsammia profunda,744,1
"Korea, Republic Of",KOR,Goniocorella dumosa,888,1
Lebanon,LBN,Balanophyllia (Balanophyllia) europaea,232,5
Lebanon,LBN,Cladocora caespitosa,495,5
Liberia,LBR,Astrangia poculata,198,5
Libya,LBY,Balanophyllia (Balanophyllia) europaea,232,5
Libya,LBY,Cladocora caespitosa,495,5
Malta,MLT,Cladopsammia rolandi,503,5
Malta,MLT,Lophelia pertusa,985,5
Malta,MLT,Paramuricea macrospina,1170,5
Mauritania,MRT,Astrangia poculata,198,5
Mexico,MEX,Astrangia poculata,198,5
Monaco,MCO,Balanophyllia (Balanophyllia) europaea,232,5
Monaco,MCO,Cladocora caespitosa,495,5
Monaco,MCO,Lophelia pertusa,985,5
Montenegro,MNE,Cladocora caespitosa,495,5
Morocco,MAR,Balanophyllia (Balanophyllia) europaea,232,5
Morocco,MAR,Cladocora caespitosa,495,5
Morocco,MAR,Clavularia carpediem,514,5
Morocco,MAR,Lophelia pertusa,985,1
Morocco,MAR,Paramuricea macrospina,1170,5
Morocco,MAR,Caryophyllia (Caryophyllia) seguenzae,404,20
Netherlands (Antilles),NLD,Dendrophyllia alternata,674,11
New Zealand,NZL,Goniocorella dumosa,888,1
New Zealand,NZL,Lophelia pertusa,985,1
New Zealand,NZL,Desmophyllum dianthus,702,12
New Zealand,NZL,Enallopsammia rostrata,746,12
New Zealand,NZL,Madrepora oculata,1006,12
New Zealand,NZL,Solenosmilia variabilis,1339,12
New Zealand,NZL,Stephanocyathus (Stephanocyathus) platypus,1362,12
New Zealand,NZL,Stichopathes variabilis,1404,12
New Zealand,NZL,Stichopathes filiformis,1382,12
Nigeria,NGA,Astrangia poculata,198,5
Norway,NOR,Lophelia pertusa,985,1
Norway,NOR,Madrepora oculata,1006,1
Palau,PLW,Leptoseris troglodyta,977,21
"Palestine, State of",PSE,Balanophyllia (Balanophyllia) europaea,232,5
Panama,PAN,Balanophyllia (Balanophyllia) floridana,233,16
Papua New Guinea,PNG,Leptoseris troglodyta,977,21
Philippines,PHL,Leptoseris troglodyta,977,21
Portugal,PRT,Caryophyllia (Caryophyllia) seguenzae,404,20
Portugal,PRT,Dasmosmilia lymani,638,16
Portugal,PRT,Lophelia pertusa,985,1
Puerto Rico,PRI,Madrepora oculata,1006,11
Puerto Rico,PRI,Madrepora carolina,1004,11
Puerto Rico,PRI,Enallopsammia profunda,744,1
Puerto Rico,PRI,Lophelia pertusa,985,11
Russian Federation,RUS,Gersemia rubiformis,885,10
Saint Vincent and the Grenadines,VCT,Stephanocyathus (Stephanocyathus) laevifundus,1359,11
Saint Vincent and the Grenadines,VCT,Stephanocyathus (Stephanocyathus) laevifundus,1359,11
Sao Tome and Principe,STP,Astrangia poculata,198,5
Saudi Arabia,SAU,Rhizosmilia valida,1327,13
Saudi Arabia,SAU,Eguchipsammia fistula,738,13
Saudi Arabia,SAU,Rhizotrochus typus,1331,13
Senegal,SEN,Balanophyllia (Balanophyllia) floridana,233,16
Senegal,SEN,Astrangia poculata,198,5
Serbia,SRB,Lophelia pertusa,985,5
Sierra Leone,SLE,Astrangia poculata,198,5
Slovenia,SVN,Balanophyllia (Balanophyllia) europaea,232,5
Slovenia,SVN,Cladocora caespitosa,495,5
Slovenia,SVN,Clavularia crassa,519,5
South Africa,ZAF,Goniocorella dumosa,888,1
Spain,ESP,Balanophyllia (Balanophyllia) europaea,232,5
Spain,ESP,Cladocora caespitosa,495,5
Spain,ESP,Cladopsammia rolandi,503,5
Spain,ESP,Clavularia carpediem,514,5
Spain,ESP,Clavularia crassa,519,5
Spain,ESP,Lophelia pertusa,985,5
Spain,ESP,Paramuricea macrospina,1170,5
Spain,ESP,Swiftia pallida,1511,5
Spain,ESP,Caryophyllia (Caryophyllia) seguenzae,404,20
Suriname,SUR,Caryophyllia (Caryophyllia) ambrosia,352,11
Sweden,SWE,Lophelia pertusa,985,9
Syrian Arab Republic,SYR,Balanophyllia (Balanophyllia) europaea,232,5
Syrian Arab Republic,SYR,Cladocora caespitosa,495,5
The Gambia,GMB,Astrangia poculata,198,5
Togo,TGO,Astrangia poculata,198,5
Tunisia,TUN,Balanophyllia (Balanophyllia) europaea,232,5
Tunisia,TUN,Cladocora caespitosa,495,5
Tunisia,TUN,Cladopsammia rolandi,503,5
Tunisia,TUN,Lophelia pertusa,985,9
Tunisia,TUN,Paramuricea macrospina,1170,5
Turkey,TUR,Balanophyllia (Balanophyllia) europaea,232,5
Turkey,TUR,Cladocora caespitosa,495,5
Turkey,TUR,Clavularia crassa,519,5
Turkey,TUR,Lophelia pertusa,985,5
Turkey,TUR,Paramuricea macrospina,1170,5
United Kingdom of Great Britain and Northern Ireland,GBR,Caryophyllia (Caryophyllia) seguenzae,404,20
United Kingdom of Great Britain and Northern Ireland,GBR,Lophelia pertusa,985,1
United States of America,USA,Astrangia poculata,198,5
United States of America,USA,Pleurocorallium secundum,1217,1
United States of America,USA,Enallopsammia rostrata,746,11
United States of America,USA,Enallopsammia profunda,744,1
United States of America,USA,Lophelia pertusa,985,1
United States of America,USA,Oculina varicosa,1097,1
United States of America,USA,Madracis myriaster,998,11
United States of America,USA,Solenosmilia variabilis,1339,1
United States of America,USA,Balanophyllia (Balanophyllia) floridana,233,16
United States of America,USA,Bathypsammia tintinnabulum,281,11
United States of America,USA,Paragorgia arborea,1142,14
United States of America,USA,Rhizosmilia maculata,1323,16
US Virgin Islands,VIR,Lophelia pertusa,985,11
US Virgin Islands,VIR,Madrepora oculata,1006,11
US Virgin Islands,VIR,Enallopsammia rostrata,746,11
United States of America,USA,Caryophyllia (Caryophyllia) horologium,378,16
Venezuela (Bolivarian Republic of),VEN,Dasmosmilia lymani,638,16
Western Sahara,ESH,Dasmosmilia lymani,638,16
Western Sahara,ESH,Caryophyllia (Caryophyllia) seguenzae,404,20
