Habitat,ISO3,Citation
seagrasses,IDN,"Mukai, H. 1993. Biogeography of tropical seagrasses in the Western Pacific. 1-17."
mangroves,IDN,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,IDN,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
seagrasses,IDN,"Nienhuis, P.H. 1986. Background levels of heavy metals in the nine tropical seagrass species in Indonesia. 508-511."
cold-water corals,IDN,"Nutting, C. (1910) The Gorgonacea of the Siboga expedition: 3. The Muriceidae."
cold-water corals,IDN,"Nutting, C. (1911) The Gorgonacea of the Siboga expedition: 8. The Scleraxonia."
coralreefs,IDN,"Petroconsultants SA (1990). Mundocart/CD. Version 2.0. 1: 1 000 000 world map prepared from the Operational Navigational Charts of the United States Defense Mapping Agency. Petroconsulants (CES) Ltd, London, UK."
seagrasses,IDN,"Phillips, R. C., & Mehez, E. G. (1988). Seagrasses. Smithsonian Contributions to the Marine Science, 34, 1–110."
seagrasses,IDN,"Stapel, J., Nijboer, R., Philipsen, B. 1996. Initial estimates of the export of leaf litter from a seagrass bed in the Spermonde Archipelago, South Sulawesi, Indonesia. 155-162."
seagrasses,IDN,"Sterrenburg, F. A. S., Erftemeijer, P. L. A., & Nienhuis, P. H. (1995). Diatoms as Epiphytes on Seagrasses in South Sulawesi (Indonesia) Comparison with Growth on Inert Substrata. Botanica Marina, 38(1–6). Retrieved from https://www.degruyter.com/view/journals/botm/38/1-6/article-p1.xml"
cold-water corals,IDN,"Studer & Bern, 1889 Zoology Volume LXXXI:  Supplementary Report on the Alcyonaria collected by H.M.S. Challenger during the Years 1873-76. 31 pp. H.M.S. Challenger Reports, Volume 32, 1889"
cold-water corals,IDN,"Thomson, J. A., & Dean, L. M. I. (1931). Alcyonacea of the SIBOGA Expedition, with an addendum of Gorgonacea: 1 - 227."
seagrasses,IDN,"Tomascik T, Mah AJ, Nontji A, Moosa MK. 1997. Seagrasses. In: Tomascik, T., Mah, A.J., Nontji, A., Moosa, M.K. The Ecology of the Indonesian Seas VIII, part II."
seagrasses,IDN,"Tomascik T, Mah AJ, Nontji A, Moosa MKP. 1997. The Ecology of the Indonesian Seas. Oxford, UK: Oxford University Press. 776 pp."
coralreefs,IDN,"UNEP-WCMC (2009).  Coral reef polygons digitized by UNEP-WCMC  on-screen from ArcGISOnline World_Imagery (MapServer) at an approximate scale of 1: 10,000. Source: ESRI, i-cubed, USDA FSA, USGS, AEX, GeoEye, Getmapping."
seagrasses,IDN,"van Avesaath, P.H., Wagingen University, Department of Animal Sciences. (1999)"
cold-water corals,IDN,"Versluys, 1902 Die Gorgoniden der Siboga-Expedition: 1. Die Chrysogorgiidae."
cold-water corals,IDN,"Versluys, 1906 Die Gorgoniden der Siboga-Expedition: 2. Die Primnoidae."
seagrasses,IDN,"Whitten T, Soerriaatmadja RE, Afiff SA. 1996. The Ecology of Java and Bali. Hong Kong: Periplus Editions."
seagrasses,IDN,"Whitten, A.J., Mustafa, M., Henderson, G.S. 1987. The Ecology of Sulawesi. Yogyakarta, Indonesia: Gadjah Mada University Press."
seagrasses,IDN,"Wong, P. P. (2000). Malacca Strait including Singapore and Johore Straits. Seas at the Millennium:  An Environmental Evaluation.  Volume II.  Regional Chapters:  The Indian Ocean to the Pacific."
cold-water corals,IDN,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
seagrasses,IMN,OSPAR Commission. (2015) OSPAR Threatened and/or Declining Habitats 2015. URL: http://www.ospar.org/work-areas/bdc/species-habitats/list-of-threatened-declining-species-habitats. Data URL: http://www.emodnet-seabedhabitats.eu/download.
seagrasses,IND,Bureau of the Convention on Wetlands. (2003). Ramsar Sites Database Service. Retrieved from https://rsis.ramsar.org
cold-water corals,IND,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
seagrasses,IND,"Den Hartog, C. (1970). The Sea-Grasses of the World. Amsterdam, Netherlands: North-Holland. 275+ pp."
coralreefs,IND,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
coralreefs,IND,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,IND,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,IND,"Jagtap, T. G., & Inamdar, S. N. (1991). Mapping of seagrass meadows from the Lakshadweep Islands (India), using aerial photographs. Journal of the Indian Society of Remote Sensing, 19(2), 77-82."
seagrasses,IND,"Jagtap, T.G., Komarpant, D.S. & Rodrigues, R. (2003). The Seagrasses of India. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,IND,"Japtap, T.G. (2001). Status report on seagrasses of India. Draft paper submitted to the UNEP-WCMC Global Seagrass Workshop, St Pete's Beach, Florida, 5-9 November, 2001"
seagrasses,IND,"Japtap, T.G. 2001. [Personal communication]."
mangroves,IND,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,IND,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
seagrasses,IND,"Parthasarathy, N., Ravikumar, K., Ramamurthy, K. 1988. Floral biology and ecology of Halophila beccarii Aschers (Hydrocharitaceae). 141-151."
seagrasses,IND,"Pernetta, J.C. (ed.). 1993. Marine Protected Areas Needs in the South Asian Seas Region. Volume 2: India.: vii + 77."
coralreefs,IND,"Petroconsultants SA (1990). Mundocart/CD. Version 2.0. 1: 1 000 000 world map prepared from the Operational Navigational Charts of the United States Defense Mapping Agency. Petroconsulants (CES) Ltd, London, UK."
seagrasses,IND,"Ramachandran, S. (2000). The Andaman, Nicobar and Lakshadweep Islands. Seas at the Millennium:  An Environmental Evaluation.  Volume II.  Regional Chapters:  The Indian Ocean to the Pacific."
seagrasses,IND,"Scott, D.A. (ed). 1989. A Directory of Asian Wetlands. Gland, Switzerland: IUCN. URL: https://portals.iucn.org/library/node/5933"
coralreefs,IND,"UNEP/IUCN (1988). Coral Reefs of the World: Volume 2: Indian Ocean, Red Sea and Gulf. UNEP Regional Seas Directories and Bibliographies.  IUCN, Gland, Switzerland and Cambridge, U.K./UNEP, Nairobi, Kenya."
seagrasses,IND,UNESCO World Heritage Centre. (1987). Sundarbans National Park. http://whc.unesco.org/en/list/452
cold-water corals,IND,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
seagrasses,IOT,"Drew, E.A. (1980). Seagrasses in the Chagos Archipelago. Aquatic Botany 9: 179-184. DOI: 10.1016/0304-3770(80)90019-4."
coralreefs,IOT,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,IRE,"Advanced Mapping Services, Marine Institute (2012). Marine Habitats, MESH Atlantic project. ID: IE001003 and IE001001"
cold-water corals,IRL,"Adkins, J. F., Griffin, S., Kashgarian, M., Cheng, H., Druffel, E. R. M., Boyle, E. A., Edwards, R. L., & Shen, C. C. (2002). Radiocarbon dating of deep-sea corals. Radiocarbon, 44(2), 567-580. https://doi.org/10.1017/S0033822200031921"
cold-water corals,IRL,"Bett, B. J., Malzone, M. G., Narayanaswamy, B. E., & Wigham, B. D. (2001). Temporal variability in phytodetritus and megabenthic activity at the seabed in the deep Northeast Atlantic. Progress in Oceanography, 50(1-4), 349-368."
cold-water corals,IRL,Billet et al. (2000)
seagrasses,IRL,Bureau of the Convention on Wetlands. (2003). Ramsar Sites Database Service. Retrieved from https://rsis.ramsar.org
cold-water corals,IRL,"Cheng, H., Adkins, J., Edwards, R. L., & Boyle, E. A. (2000). U-Th dating of deep-sea corals. Geochimica et Cosmochimica Acta, 64(14), 2401-2416."
seagrasses,IRL,"Cullinane J, O'Mahny J, and Whelan P. 1985. Algal epiphytes of subtidal Zostera marina on the south coast of Ireland. Cryptogamie Algologie 6: 239-252"
cold-water corals,IRL,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,IRL,"De Mol, B., Van Rensbergen, P., Pillen, S., Van Herreweghe, K., Van Rooij, D., McDonnell, A., Huvenne, V., Ivanov, M., Swennen, R. & Henriet, J. P. (2002). Large deep-water coral banks in the Porcupine Basin, southwest of Ireland. Marine Geology, 188(1-2), 193-231."
Cold-water corals,IRL,"Dorschel B, Wheeler AJ, Monteys X, Verbruggen K. (2010). Atlas of the Deep-water Seabed: Ireland. Springer Netherlands. DOI: 10.1007/978-90-481-9376-9"
cold-water corals,IRL,"Duncan, P. M. (1873). A Description of the Madreporaria dredged up during the Expeditions of HMS Porcupine ‘in 1869 and 1870. The Transactions of the Zoological Society of London, 8(5), 303-344."
saltmarshes,IRL,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
cold-water corals,IRL,"Fabri, M. C., Galeron, J., & Maudire, G. (2004). BIOCEAN: a new database for deep-sea benthic ecological data. Abstracts, Ocean Biodiversity Informatics, Hamburg, Germany, 29."
cold-water corals,IRL,"Frank, N., et al., 2004. Eastern North Atlantic deep-sea corals: tracing upper intermediate water Delta14C during the Holocene. Earth and Planetary Science Letters 219, 297–310"
cold-water corals,IRL,"Frank, N., et al., 2005. Cold water corals of the northeastern Atlantic margin: carbonate mound evolution and upper intermediate water ventilation during the Holocene. In: Freiwald, A. (Ed.), Springer Special Publication. Springer, Berlin, Heidelberg."
cold-water corals,IRL,"Freiwald, A. (2000). The Atlantic coral ecosystem study (ACES): a margin-wide assessment of corals and their environmental sensitivities in Europe’s deep waters. EurOCEAN 2000 Project Synopses, 1, 312-317."
cold-water corals,IRL,"Freiwald, A., Hühnerbach, V., Lindberg, B., Wilson, J. B., & Campbell, J. (2002). The Sula reef complex, Norwegian shelf. Facies, 47(1), 179-200."
cold-water corals,IRL,Gage J.D. 1977. Cruise report RRS Challenger Cruise 6A/77 (4-12 April 1977). Scottish Marine Biological Association
cold-water corals,IRL,"Gordon, J.D.M. 1980 Cruise report RRS Challenger Cruise 11/80 (28th July - 11 August 1980) Scottish Marine Biological Association 14pp"
cold-water corals,IRL,"Grasshoff, M. (1977). Die Gorgonaria des östlichen Nordatlantik und des Mittelmeeres I. Die Familie Ellisellidae (Cnidaria: Anthozoa). Meteor Forsch.-Ergebnisse (D) 27: 5-76."
cold-water corals,IRL,"Grasshoff, M. (1981) Die Gorgonia, Pennatularia und Antipatharia des Tiefwassers der Biskaya (Cnidaria, Anthozoa). Ergebnisse der französischen Expeditionen Biogas, Polygas, Géomanche, Incal, Noratlante und Fahrten der Thalassa II. I Allgemainer Teil Bull Mus Natn Hist Nat Paris 3: 731-766."
cold-water corals,IRL,"Grasshoff, M. (1981) Die Gorgonia, Pennatularia und Antipatharia des Tiefwassers der Biskaya (Cnidaria, Anthozoa). Ergebnisse der französischen Expeditionen Biogas, Polygas, Géomanche, Incal, Noratlante und Fahrten der Thalassa II. II Taxonomischer Teil Bull Mus Natn Hist Nat Paris 3: 941-978. "
cold-water corals,IRL,"Grasshoff, M. (1985). Die Gorgonaria, Pennatularia und Antipatharia des Tiefwassers der Biscaya (Cnidaria, Anthozoa) III. Ergänzungen. In: L. Laubier and C. Monniot (eds.), Peuplements profonds du Golfe de Gascogne. Brest, IFREMER, No. 17: 299-311"
cold-water corals,IRL,"Grasshoff, M. (1986). Die Gorgonaria des Expeditionen von «Travailleur» 1880-1882 und «Talisman» 1883 (Cnidaria, Anthozoa). Bulletin du Muséum national d'histoire naturelle. Section A, Zoologie, biologie et écologie animales, 8(1), 9-38."
cold-water corals,IRL,"Henriet, J. P., De Mol, B., Pillen, S. T., Vanneste, M., Van Rooij, D., Versteeg, W., Croker, P.F., Shannon, P.M., Unnithan, V., Bouriak, S. & Chachkine, P. (1998). Gas hydrate crystals may help build reefs. Nature, 391(6668), 648-649."
cold-water corals,IRL,"Hitchen, K., & Cavill, J. (1998). Site survey and gravity coring (Irish Shelf and Rockall Bank). British Geological Survey Technical Report WB/98 C, 29."
cold-water corals,IRL,"Joubin, L. (1922). Distribution géographique de quelques coraux abyssaux dans les mers occidentales européennes. Comptes Rendus de l’Académie des Sciences, 175, 930-933."
cold-water corals,IRL,"Kenyon, N.H., Akmetzhanov, A.M., Wheeler, A.J., van Weering, T.C.E, de Haas, H. & Ivanov, M.K. (2003). Giant carbonate mud mounds in the southern Rockall Trough. Mar Geol 195:5–30"
cold-water corals,IRL,"Kenyon, N.H., Ivanov, M.K. & Akmetzhanov, A.M. (1998). Cold water carbonate mounds and sediment transport on the Northeast Atlantic margin. Intergovermental Oceanographic Commission Technical Series 52. Paris, Intergovermental Oceanographic Commission UNESCO."
cold-water corals,IRL,"Kiriakoulakis, K., Fisher, E., Wolff, G. A., Freiwald, A., Grehan, A., & Roberts, J. M. (2005). Lipids and nitrogen isotopes of two deep-water corals from the North-East Atlantic: initial results and implications for their nutrition. In Cold-water corals and ecosystems (pp. 715-729). Springer, Berlin, Heidelberg."
cold-water corals,IRL,"Klages, M., Thiede, J., Foucher, J.-P. & shipboard scientific crew (2004). The Expedition ARKTIS XIX/3 of the Research Vessel POLARSTERN in 2003 — Reports of Legs 3a, 3b and 3c. Reports on Polar and Marine Research, p. 488."
cold-water corals,IRL,"Le Danois, E. (1948) Les Profondeurs de la Mer. Ed. Payot, Paris"
cold-water corals,IRL,"Long, D., Roberts, J. M., & Gillespie, E. J. (1999). Occurrences of Lophelia pertusa on the Atlantic margin."
saltmarshes,IRL,McCorry M. & Ryle T. (2009). Saltmarsh Monitoring Project 2007-2008: Final Report. Vol. 4. Contract reference D/C/227. Dublin (Ireland): National Parks and Wildlife Service.
saltmarshes,IRL,McCorry M. (2007). Saltmarsh Monitoring Project 2006: Summary Report. Contract reference D/C/191. Dubllin (Ireland): National Parks and Wildlife Service. URL: http://bwifingal.ie/data/documents/McCorry_2007_Saltmarsh_survey.pdf
cold-water corals,IRL,Olu-Le Roy et al.  (2001)
seagrasses,IRL,OSPAR Commission. (2015) OSPAR Threatened and/or Declining Habitats 2015. URL: http://www.ospar.org/work-areas/bdc/species-habitats/list-of-threatened-declining-species-habitats. Data URL: http://www.emodnet-seabedhabitats.eu/download.
cold-water corals,IRL,"Pfannkuche, O., & Utecht, C. (2005). RV Poseidon Fahrtbericht/Cruise Report POS 316 [POS316] Carbonate Mounds and Aphotic Corals in the NE-Atlantic 03.08.-17.08. 2004."
cold-water corals,IRL,"Pfannkuche, O., Bannert, B., Beck, T., Beuck, L., Dullo, W. C., Flögel, S., Freiwald, A., Gass, S., Gektidis, M., Heger, A. & Jamieson, A. (2004). Geo-biological investigations on azooxanthellate cold-water coral reefs on the carbonate mounds along the Celtic continental slope."
cold-water corals,IRL,"Ratmeyer, V., Beck, T., Belling, R., Bergenthal, M., Beuck, L., Brakel, C., Buhmann, S., Dodds, L., Dorschel, B., Engemann, G. & Foubert, A. (2004). Development of Carbonate Mounds on the Celtic Continental Margin. METEOR Cruise M61, Northeast Atlantic 2004, Leg 3, Cork-Ponta Delgada, 1-45."
cold-water corals,IRL,"Roberts, J. M. (2005). Reef-aggregating behaviour by symbiotic eunicid polychaetes from cold-water corals: do worms assemble reefs?. Journal of the Marine Biological Association of the United Kingdom, 85(4), 813-819."
cold-water corals,IRL,"Roberts, J. M., Brown, C. J., Long, D., & Bates, C. R. (2005). Acoustic mapping using a multibeam echosounder reveals cold-water coral reefs and surrounding habitats. Coral Reefs, 24(4), 654-669."
cold-water corals,IRL,"Robertson, B. M., Gillespie, P. A., & Tuckey, B. J. (2003). Broad scale mapping of Motueka River intertidal delta habitats. Prepared for Stakeholders of the Motueka Integrated Catchment Management (Motueka ICM) Programme (Vol. 782, p. 13p). Cawthron Report No."
cold-water corals,IRL,"Rogers, A. D. (1999). The Biology of Lophelia pertusa (Linnaeus 1758) and Other Deep-Water Reef-Forming Corals and Impacts from Human Activities. International review of hydrobiology, 84(4), 315-406. DOI: https://doi.org/10.1002/iroh.199900032"
cold-water corals,IRL,"Rüggeberg, A., Dorschel, B., Dullo, W. C., & Hebbeln, D. (2005). Sedimentary patterns in the vicinity of a carbonate mound in the Hovland Mound Province, northern Porcupine Seabight. In Cold-water corals and ecosystems (pp. 87-112). Springer, Berlin, Heidelberg."
saltmarshes,IRL,"Ryle T., Murray A., Connolly K. & Swan M. (2009). Coastal Monitoring Project 2004-2006. Dublin (Ireland): National Parks and Wildlife Service. URL: www.npws.ie/sites/default/files/publications/pdf/Ryle_et_al_2009_Coastal_Monitoring_Project.pdf"
cold-water corals,IRL,"Schröder-Ritzrau, A., Freiwald, A., & Mangini, A. (2005). U/Th-dating of deep-water corals from the eastern North Atlantic and the western Mediterranean Sea. In Cold-water corals and ecosystems (pp. 157-172). Springer, Berlin, Heidelberg."
cold-water corals,IRL,"Scoffin, T. P., & Bowes, G. E. (1988). The facies distribution of carbonate sediments on Porcupine Bank, northeast Atlantic. Sedimentary Geology, 60(1-4), 125-134."
cold-water corals,IRL,"Stephens, J. (1909). Alcyonarian and Madreporarian Corals of the Irish Coasts. Fisheries, Ireland, Scientific Investigations, 1907 5: 1–28."
cold-water corals,IRL,"Tudhope, A. W., & Scoffin, T. P. (1995). Processes of sedimentation in Gollum Channel, Porcupine Seabight: submersible observations and sediment analyses. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 86(1), 49-55."
cold-water corals,IRL,"Tyler, P. A., & Zibrowius, H. (1992). Submersible observations of the invertebrate fauna on the continental-slope southwest of Ireland (NE atlantic-ocean). Oceanologica Acta, 15(2), 211-226."
cold-water corals,IRL,"Van Duyl, F. C., & Duineveld, G. C. A. (2005). Biodiversity, ecosystem functioning and food web complexity of deep water coral reefs in the NE Atlantic (Rockall Bank and Porcupine Bank). Cruise Report R/V Pelagia, cruise 64PE250."
cold-water corals,IRL,"Waller, R. G., & Tyler, P. A. (2005). The reproductive biology of two deep-water, reef-building scleractinians from the NE Atlantic Ocean. Coral reefs, 24(3), 514."
seagrasses,IRL,"Whelan PM, Cullinane JP. 1985. The algal flora of a subtidal Zostera bed in ventry bay, Southwest Ireland. Aquatic Botany 23(1): 41-51. DOI: http://dx.doi.org/10.1016/0304-3770(85)90019-1"
cold-water corals,IRL,"Wilson, J., & Vina Herbon, C. (1998). Macrofaunas and biogenic carbonates from the north slope of Porcupine Bank, south east slope of Rockall Bank and west of Faeroe Bank Channel. Cold water carbonate mounds and sediment transport on the Northeast Atlantic margin, IOC technical series, (52), 149-157."
cold-water corals,IRL,"Wilson, J.B. (1979) The distribution of the coral Lophelia pertusa (L.) [L. prolifera (Pallas)] in the north-east Atlantic. J Mar Biolog Assoc UK 59:149–168"
cold-water corals,IRL,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,IRL,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
cold-water corals,IRL,"Zibrowius, H., & Cairns, S. D. (1992). Revision of the northeast Atlantic and Mediterranean Stylasteridae (Cnidaria: Hydrozoa). Mémoires du Muséum national d'Histoire naturelle, Paris, Séries A Zoologie."
mangroves,IRN,"Courteille, D. & Food and Agriculture Organization of the United Nations (FAO). (2015). FAO GEONETWORK - Carte de la végétation naturelle de l'Iran (GeoLayer). Latest update: 04 Jun 2015, Accessed 15 Nov 2017. URL: http://data.fao.org/ref/f20d9210-88fd-11da-a88f-000d939bc5d8.html?"
coralreefs,IRN,"Environment Agency-Abu Dhabi, National Coral Reef Institute Florida (NCRI), Dolphin Energy Ltd., WWF - the Emirate Wildlife Society & Ministry of Environment of the State of Qatar. (2006). Arabian Gulf coral reefs."
coralreefs,IRN,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1991). Ra's Tannurah to Jazirat Faylaka and Jazireh-ye Khark. British Admiralty Chart No. 2882.
seagrasses,IRN,"Jones, D.A. (1985). The biological characteristics of the marine habitats found within the ROPME (Regional Organization for the Protection of the Marine Environment) sea area (30ø30'N, 47ø50'E, 16ø39'N, 61ø25'E). 71-89."
seagrasses,IRN,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
coralreefs,IRN,"Petroconsultants SA (1990). Mundocart/CD. Version 2.0. 1: 1 000 000 world map prepared from the Operational Navigational Charts of the United States Defense Mapping Agency. Petroconsulants (CES) Ltd, London, UK."
saltmarshes,IRN,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
coralreefs,IRN,"UNEP/IUCN (1988). Coral Reefs of the World: Volume 2: Indian Ocean, Red Sea and Gulf. UNEP Regional Seas Directories and Bibliographies.  IUCN, Gland, Switzerland and Cambridge, U.K./UNEP, Nairobi, Kenya."
saltmarshes,ISL,BirdLife International & Conservation International (2013). Global Distribution of Important Bird and Biodiversity Areas (IBAs). Cambridge (UK): BirdLife International. URL: http://www.birdlife.org/datazone/site/search
cold-water corals,ISL,"Carlgren, O. (1939). Actiniaria, Zoantharia, and Madreporaria. The Zoology of Iceland II: 20 pp."
cold-water corals,ISL,"Copley, J. T. P., Tyler, P. A., Sheader, M., Murton, B. J. & German, C. R. (1996). Megafauna from sublittoral to abyssal depths along the Mid-Atantic Ridge south of Iceland. Oceanologica Acta 19: 549-559."
cold-water corals,ISL,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
saltmarshes,ISL,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
cold-water corals,ISL,"Grasshoff, M. (1977). Die Gorgonaria des östlichen Nordatlantik und des Mittelmeeres I. Die Familie Ellisellidae (Cnidaria: Anthozoa). Meteor Forsch.-Ergebnisse (D) 27: 5-76."
seagrasses,ISL,"Institute of Biology, University of Iceland and Icelandic Institute of Natural History. (2002)"
seagrasses,ISL,OSPAR Commission. (2015) OSPAR Threatened and/or Declining Habitats 2015. URL: http://www.ospar.org/work-areas/bdc/species-habitats/list-of-threatened-declining-species-habitats. Data URL: http://www.emodnet-seabedhabitats.eu/download.
Cold-water corals,ISL,OSPAR Commission. (2016). OSPAR Threatened and/or Declining Habitats 2015. URL: http://www.emodnet-seabedhabitats.eu/default.aspx?page=1953
saltmarshes,ISL,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
cold-water corals,ISL,"Sigvaldadóttir, E., Helgason, G.V., Guomundsson, G. and Fauchald, K., 2000. BIOICE: Benthic invertebrates of Icelandic waters. BULLETIN OF MARINE SCIENCE-MIAMI-, 67(1), pp.673-673."
cold-water corals,ISL,"Steingrímsson, S.A. and Einarsson, S.Tr. 2004. Kóralsvæði á Íslandsmiðum: Mat á ástandi og tillaga um aðgerðir til verndar þeim (Coral grounds off Iceland: assessment of their status and proposal for mitigating measures). Marine Research Institute. Report 110. (English summary: proposal for mitigating measures). Marine Research Institute. Report 110. (English summary: http://www.hafro.is/Bokasafn/Timarit/korall.pdf). "
cold-water corals,ISL,"Thomson, 1927 Alcyonaires provenant des campagnes scientifiques du Prince Albert ler de Monaco.Res. camp. sci. Monaco 73 77 pp"
cold-water corals,ISL,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
seagrasses,ISR,"Beer, S. & Zakai, D. (2001). Seagrasses, national status report: Israel, the region around it and Zanzibar."
seagrasses,ISR,"Belluscio, A., Panayiotidis, P., Gristina, M., Knittweis, L., Pace, M.L., Telesca, L., Criscoli, A., Apostolaki, E.T., Gerakaris, V., Fraschetti, S. & Spedicato, M.T. (2013). Task 1.1. Seagrass beds distribution along the Mediterranean coasts. In: Mediterranean Sensitive Habitats (MEDISEH), final project report (Eds. Giannoulaki et al.). DG - MARE SI2.600741. Hellenic Centre for Marine Research."
seagrasses,ISR,"Den Hartog, C. (1970). The Sea-Grasses of the World. Amsterdam, Netherlands: North-Holland. 275+ pp."
coralreefs,ISR,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1994). El Suweis (Suez) to El Akhawein (The Brothers) (including the Gulf of Aqaba). British Admiralty Chart No. 8.
seagrasses,ISR,"Lipkin, Y., Beer, S. & Zakai, D. (2003). The Seagrasses of the Eastern Mediterranean and the Red Sea. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,ITA,Acunto S. 2001. [Personal communication].
seagrasses,ITA,"Badalamenti, F. 2001. [Personal communication]."
seagrasses,ITA,"Belluscio, A., Panayiotidis, P., Gristina, M., Knittweis, L., Pace, M.L., Telesca, L., Criscoli, A., Apostolaki, E.T., Gerakaris, V., Fraschetti, S. & Spedicato, M.T. (2013). Task 1.1. Seagrass beds distribution along the Mediterranean coasts. In: Mediterranean Sensitive Habitats (MEDISEH), final project report (Eds. Giannoulaki et al.). DG - MARE SI2.600741. Hellenic Centre for Marine Research."
cold-water corals,ITA,"Bonfitto, A., Oliverio, M., Sabelli, B., & Taviani, M. (1994). A quaternary deep-sea marine molluscan assemblage from east Sardinia (western Tyrrhenian Sea). Boll Malacol, 30, 141-157."
cold-water corals,ITA,"Broch, H. (1953) Octocorals and Stony Corals of the High Adriatic Trawling Grounds. IZVJESCA Reports Vol. VI, No. 2 Institut za Oceanografiju i Ribarstvo, Split, Croatia"
seagrasses,ITA,Bureau of the Convention on Wetlands. (2003). Ramsar Sites Database Service. Retrieved from https://rsis.ramsar.org
cold-water corals,ITA,"Cita, M.B., Benelli, F., Bigioggero, B., Chezar, H., Colombo, A., Fantini Sestini, N., Freeman-Lynde, R., Iaccarino, S., Jadoul, F., Legnani, E. & Malinverno, A. (1980). Contribution to the geological exploration of the Malta Escarpment (eastern Mediterranean). Riv Ital Paleont, 86, 317-356."
cold-water corals,ITA,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,ITA,"Duncan, P. M. (1873). A Description of the Madreporaria dredged up during the Expeditions of HMS Porcupine ‘in 1869 and 1870. The Transactions of the Zoological Society of London, 8(5), 303-344."
