Habitat,ISO3,Citation
cold-water corals,ASC,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,ASC,Smithsonian Inst. Records
cold-water corals,ASC,"Studer & Bern, 1889 Zoology Volume LXXXI:  Supplementary Report on the Alcyonaria collected by H.M.S. Challenger during the Years 1873-76. 31 pp. H.M.S. Challenger Reports, Volume 32, 1889"
cold-water corals,ASC,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,ASC,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
saltmarshes,ASM,"Department of Commerce (DOC), National Oceanic and Atmospheric Administration (NOAA), National Ocean Service (NOS) & Coastal Services Center (CSC). (2005). C-CAP Land Cover, Territory of American Samoa, Tutuila, 2003. URL: https://coast.noaa.gov/ccapatlas/"
coralreefs,ASM,"Department of Commerce (DOC), National Oceanic and Atmospheric Administration (NOAA), National Ocean Service (NOS), National Centers for Coastal Ocean Science (NCCOS), Center for Coastal Monitoring and Assessment (CCMA) & Biogeography Program. (2004). Benthic Habitats of American Samoa Derived from IKONOS Imagery, 2001-2003. Analytical Laboratories of Hawaii."
cold-water corals,ASM,"Fautin, D. G. (2004). Hexacorallians of the World. URL: http://hercules.kgs.ku.edu/hexacoral/anemone2/index.cfm"
mangroves,ASM,"Spalding MD, Blasco F, Field CD (Eds.) (1997). World Mangrove Atlas. Okinawa (Japan): International Society for Mangrove Ecosystems. 178 pp. Compiled by UNEP-WCMC, in collaboration with the International Society for Mangrove Ecosystems (ISME). URL: https://www.unep-wcmc.org/resources-and-data/world-mangrove-atlas-1997"
cold-water corals,ATA,"Cairns, S. D. (1982). Stony corals (Cnidaria: Hydrozoa, Scleractinia) of Carrie Bow Cay, Belize. Smithsonian Contributions to the Marine Sciences. 272�302. DOI: https://doi.org/10.5479/si.01960768.12.272"
cold-water corals,ATA,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,ATA,"Margolin, A.R., Robinson, L.F., Burke, A., Waller, R.G., Scanlon, K.M., Roberts, M.L., Auro, M.E. & van de Flierdt, T. (2014).Temporal and spatial distributions of cold-water corals in the Drake Passage: Insights from the last 35,000 years. Deep Sea Research II 99: 237-248. DOI: 10.1016/j.dsr2.2013.06.008"
cold-water corals,ATA,"Stanley Jr, G. D., & Cairns, S. D. (1988). Constructional azooxanthellate coral communities: an overview with implications for the fossil record. Palaios, 233-242."
