"COUNTRY","ISO3","Seagrasses","Sources_Seagrasses","Saltmarshes","Sources_Saltmarshes","Mangroves","Sources_Mangroves","Warm_water_corals","Sources_Warm_water_corals","Cold_water_corals","Sources_Cold_water_corals"
"Dominica","DMA",2,"1;90;21;22",2,"90",2,"114;90;129;132",2,"90",2,"90"
"Denmark","DNK",2,"90;1;89",2,"90;91",0,"115;116",0,"77;130",2,"148;140"
"Dominican Republic","DOM",2,"1;90",2,"90",2,"90;114;132",2,"90;140;150",2,"90;140;150"
"Algeria","DZA",2,"90;1;25",2,"90",0,"115;116",2,"90",2,"90"
"Ecuador","ECU",2,"23;",2,"90",2,"114;90;132",2,"90;140",2,"90;140"
"Egypt","EGY",2,"1;90;25",2,"90",2,"114;90",2,"90",2,"90"
"Eritrea","ERI",2,"1;90",2,"90;99",2,"114;90",2,"90",2,"90"
"Western Sahara","ESH",2,"1;90",2,"90",0,"125",2,"159;155;90;140",2,"159;155;90;140"
"Spain","ESP",2,"1;90;2",2,"90;92",0,"115;116",2,"90;159;140",2,"90;159;140"
"Estonia","EST",2,"90;1",2,"90",0,"115;116",0,"77;130",1,NA
"Finland","FIN",2,"90;1",2,"90;91",0,"115;116",0,"77;130",1,NA
"Fiji","FJI",2,"1;90;17;48",2,"90",2,"90;114",2,"90",2,"90"
"Falkland Islands (Malvinas)","FLK",2,"90",2,"90;112",0,"115;116",0,"77;130",1,NA
"France","FRA",2,"1;90;60;67",2,"90",2,"90;115;116",2,"90;140",2,"90;140"
"Faroe Islands","FRO",1,NA,2,"90",0,"116",0,"77;130",2,"145;140"
"Micronesia, Federated States of","FSM",2,"1;90;17;48",2,"90",2,"114;90",2,"90",2,"90"
"Gabon","GAB",2,"58",2,"90",2,"114;90",2,"90",2,"90"
"United Kingdom of Great Britain and Northern Ireland","GBR",2,"1;90;76",2,"90;104;91;101",0,"115;116",0,"77;130",2,"159;140"
"Georgia","GEO",1,NA,2,"90",0,"115;116",0,"77;130",1,NA
"Guernsey","GGY",2,"27",2,"90",0,"115;116",0,"77;130",1,NA
"Ghana","GHA",2,"1;90;59",2,"90;100",2,"114;90;137",2,"90;140",2,"90;140"
"Gibraltar","GIB",2,"1;90",2,"90",0,"115;116",2,"90",2,"90"
"Guinea","GIN",2,"28",2,"90;106",2,"114;90;137",2,"90",2,"90"
"Guadeloupe","GLP",2,"1;90;19;61",2,"90",2,"90;114;129;132",2,"90",2,"90"
"The Gambia","GMB",2,"28",2,"90",2,"114;90",2,"90",2,"90"
"Guinea-Bissau","GNB",2,"1;90;28",2,"90;106",2,"90;114",2,"90",2,"90"
