"iso3","total_area_1996","total_area_2008","total_area_2009","total_area_2010baseline","total_area_2015","total_area_2016","protected_area","percent_protected","presence"
DOM,197.0962571,192.0764427,192.1800696,191.7641828,187.6319468,188.6319126,187.5682311,153.5060802,81.58832678
ECU,1450.584576,1392.844817,1394.13275,1392.248445,1392.7248,1383.309505,1388.020037,674.0121694,48.84379124
EGY,1.904301996,1.857766704,1.830538527,1.830538527,1.837852075,1.849252061,1.838955529,0.478465446,48.62848921
ERI,71.11808898,70.19211758,70.45498183,70.19169065,69.56102046,68.9377843,69.91459824,0,0
FJI,513.7075928,513.7075928,514.4547402,513.6835903,508.7260798,508.7260798,508.7260798,168.1484497,33.04475545
FSM,83.26855506,83.26855506,83.60146856,83.54555468,83.54555468,83.54555468,83.54555468,0,0
GAB,1778.784075,1756.139479,1759.154078,1760.723139,1764.395157,1755.632273,1752.984826,916.0421456,52.4558354
GHA,227.9814229,204.6785181,204.950701,204.7523377,204.2363076,206.089059,204.1808757,101.0602645,49.48232449
GIN,2242.683983,2226.297499,2233.915494,2234.353764,2245.792625,2233.666664,2225.984025,562.8160265,25.47335812
GLP,36.99300728,36.99300728,37.08833941,37.14845494,37.15533095,37.00674512,37.08233725,35.89412675,96.85844501
GMB,594.5322701,602.1611388,604.9921727,606.1434037,607.6193665,598.7306098,597.1693584,266.3828155,44.54836251
GNB,2568.347772,2588.510409,2587.532654,2585.04327,2590.039431,2576.601747,2571.68865,965.4814488,37.31612661
GNQ,250.5875593,246.5086657,247.3861158,247.7819308,249.5504251,247.307515,246.9978974,204.0028734,79.50529289
GRD,1.976978493,1.976978493,1.959504283,1.954262727,1.953386797,1.951639994,1.969980803,0.335079474,29.43358186
GTM,246.6986982,247.4499159,246.2658063,244.8184586,237.470859,243.4429391,241.292129,111.3328867,46.47759893
GUF,434.3259534,472.8287235,480.8535848,486.5920802,500.2917271,503.8175505,502.4196103,355.7485796,71.0538221
GUY,295.1786946,289.745331,288.748899,287.9854303,290.1593767,286.8226279,289.0481222,146.4543275,51.82234143
HND,662.594887,628.1884881,623.2572112,620.3339839,601.429018,598.4719844,591.8780325,390.9099719,66.23606781
HTI,164.6224611,151.9922832,151.8563075,151.0921368,146.4856588,148.9445734,147.592761,67.54392123,45.95225153
IDN,28239.7945,26987.44486,26909.78362,26853.72944,26722.61624,26501.4439,26508.11927,6475.925892,24.43293217
