"","ISO3","total_area","protected_area","percent_protected","presence"
"91","MAR","0.0000124107722984007","0.00000620540370592772","50.0001414636169","2"
"92","MCO","0.42329230123052","0.423289198544337","99.9992670109581","2"
"93","MDG","5764.78344382922","1181.8898506194","20.5018950344878","2"
"94","MDV","2400.96702981869","25.5042970350148","1.06225103128304","2"
"95","MEX","9758.42351559485","5913.05353271608","60.5943523896711","2"
"96","MHL","525.835650366179","2.00398346855514","0.381104527081725","2"
"97","MLT","70.4110826708552","64.40706119388","91.4729027743521","2"
"98","MMR","2933.5499800565","9.65628118394353","0.329167092757613","2"
"99","MNE","0.00000620546878801474","0","0","2"
"100","MNP","0.000012410489345373","0.00000310263193427738","25.0000773372738","2"
"101","MOZ","689.833679793626","648.951373518893","94.0735995541761","2"
"102","MRT","0.0000186158445684163","0.0000155132159321901","83.3333984669699","2"
"103","MSR","12.9999236078229","0","0","2"
"104","MTQ","548.774037481027","541.992549112381","98.764247594552","2"
"105","MUS","132.305605833693","0.0000434372776133905","0.0000328310182623636","2"
"106","MYS","540.556781995437","98.8692415999738","18.2902601341904","2"
"107","MYT","161.8689675642","148.490142087466","91.7347804968065","2"
"108","NCL","1469.29883408473","1173.61032117045","79.8755361363586","2"
"109","NFK","0.0000031026923295338","0","0","2"
"110","NGA","8829.3557727832","1.14823433879382","0.0130047352076727","2"
"111","NIC","5532.42380860499","914.113880974135","16.5228462713277","2"
"112","NLD","1.12254186395004","1.12253565863267","99.9994472083791","2"
"113","NOR","62.2784176874285","11.9840899929381","19.2427656930616","2"
"114","NZL","0.000158235875809673","0.0000217184176713694","13.7253436113897","2"
"115","OMN","0.0000496431653478609","0.00000620542476706727","12.5000586154901","2"
"116","PAN","1791.34520669683","91.3669457641541","5.10046558433208","2"
"117","PHL","14945.9847185179","4339.65104768554","29.0355645975522","2"
"118","PLW","727.432844946245","720.342944865904","99.0253533189218","2"
"119","PNG","9226.26538898792","1107.79264018027","12.0069453183353","2"
"120","POL","2.65949331985595","2.65948711445082","99.9997666696479","2"
"121","PRI","600.654599954727","123.386355745485","20.5419813241728","2"
"122","PRK","0.0000372317705650399","0","0","2"
"123","PRT","0.0380474615849392","0.00172138425379833","4.52430775166279","2"
"124","PYF","785.198894938157","0","0","2"
"125","QAT","1147.19497644687","87.7127495484882","7.64584498270335","2"
"126","REU","0.00000310269003275122","0","0","2"
"127","ROU","0.0000155132756476039","0.0000124105988073282","79.9998600504792","2"
"128","RUS","680.042559006035","15.4174394824781","2.26712861986352","2"
"129","SAU","20983.3620261165","331.531696706045","1.57997415425332","2"
"130","SDN","4439.92728983865","0.00000310266324675512","0.0000000698809472365903","2"
"131","SEN","1482.05849404729","482.295935197991","32.5423009371857","2"
"132","SGP","127.049405533377","0","0","2"
"133","SLB","1253.88796907809","167.169076270899","13.332058397036","2"
"134","SLE","4411.13243417548","1.17788923391862","0.026702649523575","2"
"135","SOM","0.00000930805412606787","0","0","2"
"136","STP","0.00000310257128422728","0","0","2"
"137","SUR","0.00000620529040585083","0.00000310262899132227","49.9997387454561","2"
"138","SVN","0.0851023784746948","0.0000451089387207022","0.0530054970603616","2"
"139","SWE","33.8793118855152","18.8201937335847","55.5506965347518","2"
"140","SXM","24.1557061015748","0.723838073025293","2.9965510839615","2"
"141","SYC","0.0000558478117101556","0.0000186159873687425","33.3334230987555","2"
"142","SYR","0.0000465404981237533","0","0","2"
"143","TCA","951.957897856821","66.3289744309076","6.96763739029179","2"
"144","TGO","189.82220659268","0","0","2"
"145","THA","1822.15023386795","1408.50213554908","77.298902657395","2"
