species_id,scientific_name,IUCN_Genus,IUCN_species,common_name,redlist_status,Timestamp_Redlist,Comment,URL
37,Kandelia obovata,Kandelia,obovata,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Kandelia%20obovata
38,Lumnitzera littorea,Lumnitzera,littorea,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Lumnitzera%20littorea
39,Lumnitzera racemosa,Lumnitzera,racemosa,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Lumnitzera%20racemosa
40,Lumnitzera rosea,Lumnitzera,rosea,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Lumnitzera%20rosea
41,Nypa fruticans,Nypa,fruticans,Nypa Palm,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Nypa%20fruticans
42,Osbornia octodonta,Osbornia,octodonta,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Osbornia%20octodonta
43,Pemphis acidula,Pemphis,acidula,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Pemphis%20acidula
44,Rhizophora apiculata,Rhizophora,apiculata,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20apiculata
45,Rhizophora mucronata,Rhizophora,mucronata,True Mangrove,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mucronata
46,Rhizophora samoensis,Rhizophora,samoensis,,NT,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20samoensis
47,Rhizophora stylosa,Rhizophora,stylosa,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20stylosa
48,Rhizophora lamarckii,Rhizophora,lamarckii,,NE,N/A,not in WoRMS,N/A
49,Rhizophora samoensis,Rhizophora,x neocaledonica,,NE,N/A,Synonym to R. samoensis,N/A
50,Rhizophora x selala,Rhizophora,x selata,,NE,N/A,Spelling,N/A
51,Scyphiphora hydrophyllacea,Scyphiphora,hydrophylacea,,LC,Mar-08,spelling,https://apiv3.iucnredlist.org/api/v3/website/Scyphiphora%20hydrophylacea
52,Sonneratia alba,Sonneratia,alba,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20alba
53,Sonneratia apetala,Sonneratia,apetala,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20apetala
54,Sonneratia caseolaris,Sonneratia,caseolaris,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20caseolaris
55,Sonneratia griffithii,Sonneratia,griffithii,,CR,Mar-08,not in WoRMS,https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20griffithii
56,Sonneratia caseolaris,Sonneratia,lanceolata,,LC,Mar-08,synonym to S. caseolaris,https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20lanceolata
57,Sonneratia ovata,Sonneratia,ovata,,NT,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20ovata
58,Sonneratia gulngai,Sonneratia,gulngai,,NE,N/A,not in WoRMS,N/A
59,Sonneratia hainanensis,Sonneratia,hainanensis,Hainan Sonneratia,CR,Jan-98,,https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20hainanensis
60,Sonneratia urama,Sonneratia,urama,,NE,N/A,not in WoRMS,N/A
61,Xylocarpus granatum,Xylocarpus,granatum,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Xylocarpus%20granatum
62,Xylocarpus moluccensis,Xylocarpus,moluccensis,,LC,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Xylocarpus%20moluccensis
63,Avicennia bicolor,Avicennia,bicolor,,VU,Mar-08,,https://apiv3.iucnredlist.org/api/v3/website/Avicennia%20bicolor
64,Avicennia germinans,Avicennia,germinans,,LC,Mar-07,,https://apiv3.iucnredlist.org/api/v3/website/Avicennia%20germinans
65,Avicennia schaueriana,Avicennia,schaueriana,,LC,Mar-07,,https://apiv3.iucnredlist.org/api/v3/website/Avicennia%20schaueriana
66,Conocarpus erectus,Conocarpus,erectus,Silver-leaved Buttonwood,LC,Mar-07,,https://apiv3.iucnredlist.org/api/v3/website/Conocarpus%20erectus
67,Laguncularia racemosa,Laguncularia,racemosa,White mangrove,LC,Mar-07,,https://apiv3.iucnredlist.org/api/v3/website/Laguncularia%20racemosa
68,More oleifera,Mora,oleifera,,VU,Mar-08,not in WoRMS,https://apiv3.iucnredlist.org/api/v3/website/Mora%20oleifera
69,Pelliciera rhizophoreae,Pelliciera,rhizophorae,,VU,Mar-07,spelling,https://apiv3.iucnredlist.org/api/v3/website/Pelliciera%20rhizophorae
70,Rhizophora mangle,Rhizophora,mangle,Red Mangrove,LC,Mar-07,not in WoRMS,https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mangle
71,Rhizophora racemosa,Rhizophora,racemosa,,LC,Mar-07,,https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20racemosa
72,Rhizophora harrisonii,Rhizophora,x harrisonii,,NE,N/A,,N/A
73,Tabebuia palustris,Tabebuia,palustris,,VU,Mar-08,not in WoRMS,https://apiv3.iucnredlist.org/api/v3/website/Tabebuia%20palustris
