country,iso3,species,species_id,source_id
Dominica,DMA,Avicennia schaueriana,65,1
Dominica,DMA,Conocarpus erectus,66,1
Dominica,DMA,Laguncularia racemosa,67,1
Dominica,DMA,Rhizophora mangle,70,1
Dominican Republic,DOM,Avicennia germinans,64,1
Dominican Republic,DOM,Conocarpus erectus,66,1
Dominican Republic,DOM,Laguncularia racemosa,67,1
Dominican Republic,DOM,Rhizophora mangle,70,1
Ecuador,ECU,Acrostichum aureum,3,1
Ecuador,ECU,Avicennia germinans,64,1
Ecuador,ECU,Conocarpus erectus,66,1
Ecuador,ECU,Laguncularia racemosa,67,1
Ecuador,ECU,Pelliciera rhizophoreae,69,1
Ecuador,ECU,Rhizophora mangle,70,1
Ecuador,ECU,Rhizophora racemosa,71,1
Ecuador,ECU,Rhizophora harrisonii,72,1
Egypt,EGY,Avicennia marina,13,1
Egypt,EGY,Rhizophora mucronata,45,1
Eritrea,ERI,Avicennia marina,13,1
Eritrea,ERI,Ceriops tagal,27,1
Eritrea,ERI,Rhizophora mucronata,45,1
Fiji,FJI,Bruguiera gymnorrhiza,18,1
Fiji,FJI,Excoecaria agallocha,31,1
Fiji,FJI,Heritiera littoralis,35,1
Fiji,FJI,Lumnitzera littorea,38,1
Fiji,FJI,Rhizophora samoensis,46,1
Fiji,FJI,Rhizophora x selala,50,1
Fiji,FJI,Xylocarpus granatum,61,1
"Micronesia, Federated States of",FSM,Acrostichum speciosum,5,1
"Micronesia, Federated States of",FSM,Avicennia alba,11,1
"Micronesia, Federated States of",FSM,Bruguiera hainesii,19,1
"Micronesia, Federated States of",FSM,Diospyros littorea,29,1
"Micronesia, Federated States of",FSM,Excoecaria agallocha,31,1
"Micronesia, Federated States of",FSM,Excoecaria indica,32,1
"Micronesia, Federated States of",FSM,Heritiera littoralis,35,1
"Micronesia, Federated States of",FSM,Lumnitzera racemosa,39,1
"Micronesia, Federated States of",FSM,Osbornia octodonta,42,1
"Micronesia, Federated States of",FSM,Rhizophora apiculata,44,1
"Micronesia, Federated States of",FSM,Rhizophora samoensis,46,1
"Micronesia, Federated States of",FSM,Rhizophora stylosa,47,1
"Micronesia, Federated States of",FSM,Rhizophora x selala,50,1
"Micronesia, Federated States of",FSM,Sonneratia alba,52,1
"Micronesia, Federated States of",FSM,Sonneratia hainanensis,59,1
Gabon,GAB,Acrostichum aureum,3,1
Gabon,GAB,Avicennia germinans,64,1
Gabon,GAB,Conocarpus erectus,66,1
Gabon,GAB,Laguncularia racemosa,67,1
Gabon,GAB,Rhizophora mangle,70,1
Gabon,GAB,Rhizophora racemosa,71,1
Gabon,GAB,Rhizophora harrisonii,72,1
Ghana,GHA,Acrostichum aureum,3,1
Ghana,GHA,Avicennia germinans,64,1
Ghana,GHA,Conocarpus erectus,66,1
Ghana,GHA,Laguncularia racemosa,67,1
Ghana,GHA,Rhizophora racemosa,71,1
Ghana,GHA,Rhizophora harrisonii,72,1
Guinea,GIN,Acrostichum aureum,3,1
Guinea,GIN,Avicennia germinans,64,1
Guinea,GIN,Conocarpus erectus,66,1
Guinea,GIN,Laguncularia racemosa,67,1
Guinea,GIN,Rhizophora mangle,70,1
Guinea,GIN,Rhizophora racemosa,71,1
Guinea,GIN,Rhizophora harrisonii,72,1
Guadeloupe,GLP,Avicennia germinans,64,1
Guadeloupe,GLP,Avicennia schaueriana,65,1
Guadeloupe,GLP,Conocarpus erectus,66,1
Guadeloupe,GLP,Laguncularia racemosa,67,1
Guadeloupe,GLP,Rhizophora mangle,70,1
The Gambia,GMB,Acrostichum aureum,3,1
The Gambia,GMB,Avicennia germinans,64,1
The Gambia,GMB,Conocarpus erectus,66,1
The Gambia,GMB,Laguncularia racemosa,67,1
The Gambia,GMB,Rhizophora mangle,70,1
The Gambia,GMB,Rhizophora racemosa,71,1
The Gambia,GMB,Rhizophora harrisonii,72,1
Guinea-Bissau,GNB,Avicennia germinans,64,1
Guinea-Bissau,GNB,Conocarpus erectus,66,1
Guinea-Bissau,GNB,Laguncularia racemosa,67,1
Guinea-Bissau,GNB,Rhizophora mangle,70,1
Guinea-Bissau,GNB,Rhizophora racemosa,71,1
Guinea-Bissau,GNB,Rhizophora harrisonii,72,1
Equatorial Guinea,GNQ,Acrostichum aureum,3,1
Equatorial Guinea,GNQ,Avicennia germinans,64,1
Equatorial Guinea,GNQ,Conocarpus erectus,66,1
Equatorial Guinea,GNQ,Laguncularia racemosa,67,1
Equatorial Guinea,GNQ,Rhizophora mangle,70,1
Equatorial Guinea,GNQ,Rhizophora racemosa,71,1
Equatorial Guinea,GNQ,Rhizophora harrisonii,72,1
Grenada,GRD,Acrostichum aureum,3,1
Grenada,GRD,Avicennia germinans,64,1
Grenada,GRD,Avicennia schaueriana,65,1
Grenada,GRD,Conocarpus erectus,66,1
Grenada,GRD,Laguncularia racemosa,67,1
Grenada,GRD,Rhizophora mangle,70,1
Guatemala,GTM,Avicennia bicolor,63,1
Guatemala,GTM,Avicennia germinans,64,1
Guatemala,GTM,Conocarpus erectus,66,1
Guatemala,GTM,Laguncularia racemosa,67,1
Guatemala,GTM,Rhizophora mangle,70,1
Guatemala,GTM,Rhizophora harrisonii,72,1
French Guiana,GUF,Acrostichum aureum,3,1
French Guiana,GUF,Avicennia germinans,64,1
French Guiana,GUF,Conocarpus erectus,66,1
French Guiana,GUF,Laguncularia racemosa,67,1
French Guiana,GUF,Rhizophora mangle,70,1
French Guiana,GUF,Rhizophora racemosa,71,1
Guam,GUM,Avicennia marina,13,1
Guam,GUM,Bruguiera gymnorrhiza,18,1
Guam,GUM,Heritiera littoralis,35,1
Guam,GUM,Lumnitzera littorea,38,1
Guam,GUM,Nypa fruticans,41,1
Guam,GUM,Pemphis acidula,43,1
Guam,GUM,Rhizophora apiculata,44,1
Guam,GUM,Rhizophora lamarckii,48,1
Guam,GUM,Xylocarpus granatum,61,1
Guyana,GUY,Avicennia germinans,64,1
Guyana,GUY,Conocarpus erectus,66,1
Guyana,GUY,Laguncularia racemosa,67,1
Guyana,GUY,Rhizophora mangle,70,1
Honduras,HND,Acrostichum aureum,3,1
Honduras,HND,Avicennia germinans,64,1
Honduras,HND,Conocarpus erectus,66,1
Honduras,HND,Laguncularia racemosa,67,1
Honduras,HND,Rhizophora mangle,70,1
Haiti,HTI,Avicennia germinans,64,1
Haiti,HTI,Conocarpus erectus,66,1
Haiti,HTI,Laguncularia racemosa,67,1
Haiti,HTI,Rhizophora mangle,70,1
Indonesia,IDN,Acanthus ebracteatus,1,1
Indonesia,IDN,Acanthus ilicifolius,2,1
Indonesia,IDN,Acrostichum aureum,3,1
Indonesia,IDN,Acrostichum speciosum,5,1
Indonesia,IDN,Aegialitis annulata,6,1
Indonesia,IDN,Aegiceras corniculatum,8,1
Indonesia,IDN,Aegiceras floridum,9,1
Indonesia,IDN,Avicennia alba,11,1
Indonesia,IDN,Avicennia marina,13,1
Indonesia,IDN,Avicennia officinalis,14,1
Indonesia,IDN,Avicennia rumphiana,15,1
Indonesia,IDN,Bruguiera cylindrica,16,1
Indonesia,IDN,Bruguiera exaristata,17,1
Indonesia,IDN,Bruguiera gymnorrhiza,18,1
Indonesia,IDN,Bruguiera hainesii,19,1
Indonesia,IDN,Bruguiera parviflora,20,1
Indonesia,IDN,Bruguiera sexangula,21,1
Indonesia,IDN,Camptostemon philippinensis,23,1
Indonesia,IDN,Camptostemon schultzii,24,1
Indonesia,IDN,Ceriops decandra,26,1
Indonesia,IDN,Ceriops tagal,27,1
Indonesia,IDN,Dolichandrone spathacea,30,1
Indonesia,IDN,Excoecaria agallocha,31,1
Indonesia,IDN,Excoecaria indica,32,1
Indonesia,IDN,Heritiera globosa,34,1
Indonesia,IDN,Heritiera littoralis,35,1
