"region","scientific_name","common_name","redlist_status","habitat","url"
"East Asian Seas","Caulastrea echinulata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20echinulata"
"North-West Pacific","Caulastrea echinulata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20echinulata"
"Eastern Africa","Caulastrea furcata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20furcata"
"North-West Pacific","Caulastrea furcata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20furcata"
"Pacific","Caulastrea furcata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20furcata"
"East Asian Seas","Caulastrea furcata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20furcata"
"Pacific","Caulastrea tumida","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20tumida"
"North-West Pacific","Caulastrea tumida","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20tumida"
"Eastern Africa","Caulastrea tumida","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20tumida"
"East Asian Seas","Caulastrea tumida","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20tumida"
"South Asian Seas","Caulastrea tumida","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20tumida"
"Red Sea and Gulf of Aden","Caulastrea tumida","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Caulastrea%20tumida"
"Mediterranean","Ceratotrochus magnaghii","","DD","Cold-water corals","https://apiv3.iucnredlist.org/api/v3/website/Ceratotrochus%20magnaghii"
"East Asian Seas","Ceriops australis","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Ceriops%20australis"
"Pacific","Ceriops australis","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Ceriops%20australis"
"South Asian Seas","Ceriops decandra","","NT","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Ceriops%20decandra"
"East Asian Seas","Ceriops decandra","","NT","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Ceriops%20decandra"
"Eastern Africa","Ceriops tagal","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Ceriops%20tagal"
"East Asian Seas","Ceriops tagal","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Ceriops%20tagal"
"Pacific","Ceriops tagal","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Ceriops%20tagal"
"South Asian Seas","Ceriops tagal","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Ceriops%20tagal"
"Wider Caribbean","Cladocora arbuscula","Tube Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cladocora%20arbuscula"
"Wider Caribbean","Cladocora arbuscula","Tube Coral","LC","Cold-water corals","https://apiv3.iucnredlist.org/api/v3/website/Cladocora%20arbuscula"
"North-East Pacific","Cladocora arbuscula","Tube Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cladocora%20arbuscula"
"North-East Pacific","Cladocora arbuscula","Tube Coral","LC","Cold-water corals","https://apiv3.iucnredlist.org/api/v3/website/Cladocora%20arbuscula"
"Mediterranean","Cladocora caespitosa","Mediterranean Pillow Coral","EN","Cold-water corals","https://apiv3.iucnredlist.org/api/v3/website/Cladocora%20caespitosa"
"Mediterranean","Cladocora caespitosa","Mediterranean Pillow Coral","EN","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cladocora%20caespitosa"
"Eastern Africa","Coeloseris mayeri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coeloseris%20mayeri"
"Pacific","Coeloseris mayeri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coeloseris%20mayeri"
"North-West Pacific","Coeloseris mayeri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coeloseris%20mayeri"
"South Asian Seas","Coeloseris mayeri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coeloseris%20mayeri"
"East Asian Seas","Coeloseris mayeri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coeloseris%20mayeri"
"North-East Pacific","Colpophyllia natans","Boulder Brain Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Colpophyllia%20natans"
"Wider Caribbean","Colpophyllia natans","Boulder Brain Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Colpophyllia%20natans"
"North-East Pacific","Conocarpus erectus","Silver-leaved Buttonwood","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Conocarpus%20erectus"
"Wider Caribbean","Conocarpus erectus","Silver-leaved Buttonwood","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Conocarpus%20erectus"
"West and Central Africa - WACAF","Conocarpus erectus","Silver-leaved Buttonwood","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Conocarpus%20erectus"
"South-East Pacific","Conocarpus erectus","Silver-leaved Buttonwood","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Conocarpus%20erectus"
"North-West Pacific","Coscinaraea columna","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20columna"
"East Asian Seas","Coscinaraea columna","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20columna"
"South Asian Seas","Coscinaraea columna","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20columna"
"Eastern Africa","Coscinaraea columna","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20columna"
"Red Sea and Gulf of Aden","Coscinaraea columna","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20columna"
"South-East Pacific","Coscinaraea columna","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20columna"
"Pacific","Coscinaraea columna","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20columna"
"ROPME Area","Coscinaraea columna","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20columna"
"North-West Pacific","Coscinaraea crassa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20crassa"
"Eastern Africa","Coscinaraea crassa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20crassa"
"Red Sea and Gulf of Aden","Coscinaraea crassa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20crassa"
"Pacific","Coscinaraea crassa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20crassa"
"East Asian Seas","Coscinaraea crassa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20crassa"
"North-West Pacific","Coscinaraea exesa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20exesa"
"Pacific","Coscinaraea exesa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20exesa"
"East Asian Seas","Coscinaraea exesa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20exesa"
"North-West Pacific","Coscinaraea hahazimaensis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20hahazimaensis"
"Pacific","Coscinaraea marshae","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20marshae"
"Pacific","Coscinaraea mcneilli","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20mcneilli"
"Eastern Africa","Coscinaraea monile","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20monile"
"Red Sea and Gulf of Aden","Coscinaraea monile","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20monile"
"South Asian Seas","Coscinaraea monile","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20monile"
"ROPME Area","Coscinaraea monile","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20monile"
"East Asian Seas","Coscinaraea monile","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20monile"
"North-West Pacific","Coscinaraea monile","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20monile"
"Pacific","Coscinaraea monile","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20monile"
"Red Sea and Gulf of Aden","Coscinaraea wellsi","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20wellsi"
"South Asian Seas","Coscinaraea wellsi","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20wellsi"
"East Asian Seas","Coscinaraea wellsi","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20wellsi"
"North-West Pacific","Coscinaraea wellsi","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20wellsi"
"Eastern Africa","Coscinaraea wellsi","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20wellsi"
"Pacific","Coscinaraea wellsi","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Coscinaraea%20wellsi"
"Red Sea and Gulf of Aden","Craterestrea levis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Craterestrea%20levis"
"North-West Pacific","Ctenactis albitentaculata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20albitentaculata"
"East Asian Seas","Ctenactis albitentaculata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20albitentaculata"
"Pacific","Ctenactis albitentaculata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20albitentaculata"
"Pacific","Ctenactis crassa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20crassa"
"North-West Pacific","Ctenactis crassa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20crassa"
"East Asian Seas","Ctenactis crassa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20crassa"
"South Asian Seas","Ctenactis crassa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20crassa"
"Red Sea and Gulf of Aden","Ctenactis crassa","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20crassa"
"South Asian Seas","Ctenactis echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20echinata"
"Pacific","Ctenactis echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20echinata"
"North-West Pacific","Ctenactis echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20echinata"
"Red Sea and Gulf of Aden","Ctenactis echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20echinata"
"East Asian Seas","Ctenactis echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenactis%20echinata"
"Eastern Africa","Ctenella chagius","","EN","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Ctenella%20chagius"
"Mediterranean","Cyclosorus interruptus","Hottentot Fern","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Cyclosorus%20interruptus"
"South Asian Seas","Cyclosorus interruptus","Hottentot Fern","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Cyclosorus%20interruptus"
"Mediterranean","Cymodocea nodosa","Slender Seagrass","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20nodosa"
"West and Central Africa - WACAF","Cymodocea nodosa","Slender Seagrass","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20nodosa"
"North-East Atlantic","Cymodocea nodosa","Slender Seagrass","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20nodosa"
"Black Sea","Cymodocea nodosa","Slender Seagrass","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20nodosa"
"North-West Pacific","Cymodocea rotundata","Species code: Cr","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20rotundata"
"Eastern Africa","Cymodocea rotundata","Species code: Cr","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20rotundata"
"Red Sea and Gulf of Aden","Cymodocea rotundata","Species code: Cr","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20rotundata"
"South Asian Seas","Cymodocea rotundata","Species code: Cr","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20rotundata"
"East Asian Seas","Cymodocea rotundata","Species code: Cr","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20rotundata"
"Pacific","Cymodocea rotundata","Species code: Cr","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20rotundata"
"Pacific","Cymodocea serrulata","Species code: Cs","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20serrulata"
"Red Sea and Gulf of Aden","Cymodocea serrulata","Species code: Cs","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20serrulata"
"North-West Pacific","Cymodocea serrulata","Species code: Cs","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20serrulata"
"South Asian Seas","Cymodocea serrulata","Species code: Cs","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20serrulata"
"East Asian Seas","Cymodocea serrulata","Species code: Cs","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20serrulata"
"Eastern Africa","Cymodocea serrulata","Species code: Cs","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Cymodocea%20serrulata"
"South Asian Seas","Cynarina lacrymalis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cynarina%20lacrymalis"
"Pacific","Cynarina lacrymalis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cynarina%20lacrymalis"
"East Asian Seas","Cynarina lacrymalis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cynarina%20lacrymalis"
"North-West Pacific","Cynarina lacrymalis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cynarina%20lacrymalis"
"Eastern Africa","Cynarina lacrymalis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cynarina%20lacrymalis"
"Red Sea and Gulf of Aden","Cynarina lacrymalis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cynarina%20lacrymalis"
"Eastern Africa","Cyperus articulatus","Jointed Flatsedge","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Cyperus%20articulatus"
"Red Sea and Gulf of Aden","Cyperus articulatus","Jointed Flatsedge","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Cyperus%20articulatus"
"West and Central Africa - WACAF","Cyperus articulatus","Jointed Flatsedge","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Cyperus%20articulatus"
"Mediterranean","Cyperus articulatus","Jointed Flatsedge","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Cyperus%20articulatus"
"Pacific","Cyphastrea agassizi","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20agassizi"
"East Asian Seas","Cyphastrea agassizi","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20agassizi"
"North-West Pacific","Cyphastrea agassizi","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20agassizi"
"South Asian Seas","Cyphastrea chalcidicum","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20chalcidicum"
"East Asian Seas","Cyphastrea chalcidicum","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20chalcidicum"
"Eastern Africa","Cyphastrea chalcidicum","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20chalcidicum"
"Pacific","Cyphastrea chalcidicum","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20chalcidicum"
"Red Sea and Gulf of Aden","Cyphastrea chalcidicum","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20chalcidicum"
"North-West Pacific","Cyphastrea chalcidicum","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20chalcidicum"
"North-West Pacific","Cyphastrea decadia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20decadia"
"Pacific","Cyphastrea decadia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20decadia"
"East Asian Seas","Cyphastrea decadia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20decadia"
"Red Sea and Gulf of Aden","Cyphastrea hexasepta","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20hexasepta"
"South Asian Seas","Cyphastrea hexasepta","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20hexasepta"
"East Asian Seas","Cyphastrea japonica","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20japonica"
"Pacific","Cyphastrea japonica","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20japonica"
"North-West Pacific","Cyphastrea japonica","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20japonica"
"Eastern Africa","Cyphastrea microphthalma","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20microphthalma"
"North-West Pacific","Cyphastrea microphthalma","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20microphthalma"
"ROPME Area","Cyphastrea microphthalma","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20microphthalma"
"Red Sea and Gulf of Aden","Cyphastrea microphthalma","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20microphthalma"
"South Asian Seas","Cyphastrea microphthalma","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20microphthalma"
"Pacific","Cyphastrea microphthalma","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20microphthalma"
"East Asian Seas","Cyphastrea microphthalma","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20microphthalma"
"North-West Pacific","Cyphastrea ocellina","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20ocellina"
"East Asian Seas","Cyphastrea ocellina","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20ocellina"
"Pacific","Cyphastrea ocellina","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20ocellina"
"Red Sea and Gulf of Aden","Cyphastrea serailia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20serailia"
"East Asian Seas","Cyphastrea serailia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20serailia"
"North-West Pacific","Cyphastrea serailia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20serailia"
"Pacific","Cyphastrea serailia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20serailia"
"ROPME Area","Cyphastrea serailia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20serailia"
"South Asian Seas","Cyphastrea serailia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20serailia"
"Eastern Africa","Cyphastrea serailia","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Cyphastrea%20serailia"
"Wider Caribbean","Dendrogyra cylindrus","Pillar Coral","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Dendrogyra%20cylindrus"
"North-East Pacific","Dichocoenia stellaris","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Dichocoenia%20stellaris"
"Wider Caribbean","Dichocoenia stellaris","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Dichocoenia%20stellaris"
"North-East Pacific","Dichocoenia stokesii","Elliptical Star Coral","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Dichocoenia%20stokesii"
"Wider Caribbean","Dichocoenia stokesii","Elliptical Star Coral","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Dichocoenia%20stokesii"
"Red Sea and Gulf of Aden","Diploastrea heliopora","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploastrea%20heliopora"
"South Asian Seas","Diploastrea heliopora","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploastrea%20heliopora"
"Pacific","Diploastrea heliopora","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploastrea%20heliopora"
"Eastern Africa","Diploastrea heliopora","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploastrea%20heliopora"
"North-West Pacific","Diploastrea heliopora","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploastrea%20heliopora"
"East Asian Seas","Diploastrea heliopora","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploastrea%20heliopora"
"North-East Pacific","Diploria clivosa","Knobby Brain Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploria%20clivosa"
"Wider Caribbean","Diploria clivosa","Knobby Brain Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploria%20clivosa"
"North-East Pacific","Diploria labyrinthiformis","Grooved Brain Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploria%20labyrinthiformis"
"Wider Caribbean","Diploria labyrinthiformis","Grooved Brain Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploria%20labyrinthiformis"
"North-East Pacific","Diploria strigosa","Symmetrical Brain Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploria%20strigosa"
"Wider Caribbean","Diploria strigosa","Symmetrical Brain Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Diploria%20strigosa"
"Pacific","Dolichandrone spathacea","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Dolichandrone%20spathacea"
"East Asian Seas","Dolichandrone spathacea","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Dolichandrone%20spathacea"
"South Asian Seas","Dolichandrone spathacea","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Dolichandrone%20spathacea"
"Pacific","Duncanopsammia axifuga","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Duncanopsammia%20axifuga"
"East Asian Seas","Duncanopsammia axifuga","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Duncanopsammia%20axifuga"
"North-West Pacific","Echinomorpha nishihirai","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinomorpha%20nishihirai"
"Pacific","Echinomorpha nishihirai","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinomorpha%20nishihirai"
"East Asian Seas","Echinomorpha nishihirai","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinomorpha%20nishihirai"
"North-West Pacific","Echinophyllia aspera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20aspera"
"Pacific","Echinophyllia aspera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20aspera"
"ROPME Area","Echinophyllia aspera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20aspera"
"South Asian Seas","Echinophyllia aspera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20aspera"
"Eastern Africa","Echinophyllia aspera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20aspera"
"Red Sea and Gulf of Aden","Echinophyllia aspera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20aspera"
"East Asian Seas","Echinophyllia aspera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20aspera"
"East Asian Seas","Echinophyllia costata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20costata"
"Pacific","Echinophyllia costata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20costata"
"North-West Pacific","Echinophyllia echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinata"
"South Asian Seas","Echinophyllia echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinata"
"East Asian Seas","Echinophyllia echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinata"
"Pacific","Echinophyllia echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinata"
"Eastern Africa","Echinophyllia echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinata"
"Red Sea and Gulf of Aden","Echinophyllia echinata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinata"
"Pacific","Echinophyllia echinoporoides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinoporoides"
"South Asian Seas","Echinophyllia echinoporoides","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Echinophyllia%20echinoporoides"
