"region","scientific_name","common_name","redlist_status","habitat","url"
"East Asian Seas","Acropora bifurcata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20bifurcata"
"South Asian Seas","Acropora bifurcata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20bifurcata"
"North-West Pacific","Acropora bifurcata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20bifurcata"
"Eastern Africa","Acropora bifurcata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20bifurcata"
"Pacific","Acropora bifurcata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20bifurcata"
"South Asian Seas","Acropora branchi","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20branchi"
"Eastern Africa","Acropora branchi","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20branchi"
"Pacific","Acropora bushyensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20bushyensis"
"East Asian Seas","Acropora bushyensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20bushyensis"
"Pacific","Acropora cardenae","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cardenae"
"East Asian Seas","Acropora cardenae","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cardenae"
"Pacific","Acropora carduus","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20carduus"
"East Asian Seas","Acropora carduus","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20carduus"
"North-West Pacific","Acropora carduus","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20carduus"
"South Asian Seas","Acropora carduus","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20carduus"
"East Asian Seas","Acropora caroliniana","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20caroliniana"
"Pacific","Acropora caroliniana","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20caroliniana"
"Red Sea and Gulf of Aden","Acropora cerealis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cerealis"
"Eastern Africa","Acropora cerealis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cerealis"
"North-West Pacific","Acropora cerealis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cerealis"
"Pacific","Acropora cerealis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cerealis"
"South Asian Seas","Acropora cerealis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cerealis"
"East Asian Seas","Acropora cerealis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cerealis"
"North-East Pacific","Acropora cervicornis","Staghorn Coral","CR","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cervicornis"
"Wider Caribbean","Acropora cervicornis","Staghorn Coral","CR","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20cervicornis"
"Pacific","Acropora chesterfieldensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20chesterfieldensis"
"East Asian Seas","Acropora chesterfieldensis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20chesterfieldensis"
