country,iso3,species,species_id,source_id,,,,,,,,
Barbados,BRB,Thalassia testudinum,45,1,,,,,,,,
Belize,BLZ,Halodule beaudettei,8,1,,,,,,,,
Belize,BLZ,Halodule wrightii,13,1,,,,,,,,
Belize,BLZ,Syringodium filiforme,42,1,,,,,,,,
Belize,BLZ,Thalassia testudinum,45,1,,,,,,,,
Benin,BEN,Halodule wrightii,13,1,,,,,,,,
Bermuda,BMU,Halodule bermudensis,9,1,,,,,,,,
Bermuda,BMU,Syringodium filiforme,42,1,,,,,,,,
Bermuda,BMU,Thalassia testudinum,45,1,,,,,,,,
"Bonaire, Sint Eustatius, and Saba",BES,Halophila baillonis,15,1,,,,,,,,
"Bonaire, Sint Eustatius, and Saba",BES,Halophila decipiens,18,1,,,,,,,,
"Bonaire, Sint Eustatius, and Saba",BES,Syringodium filiforme,42,1,,,,,,,,
"Bonaire, Sint Eustatius, and Saba",BES,Thalassia testudinum,45,1,,,,,,,,
Brazil,BRA,Halodule emarginata,10,1,,,,,,,,
Brazil,BRA,Halodule wrightii,13,1,,,,,,,,
Brazil,BRA,Halophila baillonis,15,1,,,,,,,,
Brazil,BRA,Halophila decipiens,18,1,,,,,,,,
Brazil,BRA,Ruppia maritima,60,1,,,,,,,,
British Indian Ocean Territory,IOT,Halophila decipiens,18,1,,,,,,,,
British Indian Ocean Territory,IOT,Thalassodendron ciliatum,46,1,,,,,,,,
British military base in Cyprus,GBRX,Cymodocea nodosa,4,1,,,,,,,,
British military base in Cyprus,GBRX,Halophila stipulacea,26,1,,,,,,,,
British military base in Cyprus,GBRX,Posidonia oceanica,38,1,,,,,,,,
British Virgin Islands,VGB,Thalassia testudinum,45,1,,, ,,,,,
British Virgin Islands,VGB,Syringodium filiforme,42,1,,,,,,,,
Brunei Darussalam,BRN,Enhalus acoroides,7,1,,,,,,,,
Brunei Darussalam,BRN,Halophila ovalis,23,1,,,,,,,,
Brunei Darussalam,BRN,Halophila spinulosa,25,1,,,,,,,,
Brunei Darussalam,BRN,Thalassia hemprichii,44,1,,,,,,,,
Bulgaria,BGR,Cymodocea nodosa,4,1,,,,,,,,
Bulgaria,BGR,Zostera subg. Zostera marina,54,1,,,,,,,,
Bulgaria,BGR,Zostera noltei,57,1,,,,,,,,
Cabo Verde,CPV,Halodule wrightii,13,1,,,,,,,,
Cambodia,KHM,Enhalus acoroides,7,1,,,,,,,,
Cambodia,KHM,Halodule uninervis,12,1,,,,,,,,
Canada,CAN,Phyllospadix scouleri,30,1,,,,,,,,
Canada,CAN,Phyllospadix serrulatus,31,1,,,,,,,,
Canada,CAN,Phyllospadix torreyi,32,1,,,,,,,,
Canada,CAN,Zostera japonica,53,1,,,,,,,,
Canada,CAN,Zostera subg. Zostera marina,54,1,,,,,,,,
Cayman Islands,CYM,Syringodium filiforme,42,1,,,,,,,,
Cayman Islands,CYM,Thalassia testudinum,45,1,,,,,,,,
Chile,CHL,Zostera tasmanica,59,1,,,,,,,,
Chile,CHL,Ruppia filifolia,61,1,,,,,,,,
Chile,CHL,Ruppia filifolia,61,90,,,,,,,,
China,CHN,Cymodocea rotundata,5,1,,,,,,,,
China,CHN,Halodule uninervis,12,1,,,,,,,,
China,CHN,Halophila beccarii,16,1,,,,,,,,
China,CHN,Halophila decipiens,18,1,,,,,,,,
China,CHN,Halophila ovalis,23,1,,,,,,,,
China,CHN,Halophila ovata,24,1,,,,,,,,
China,CHN,Phyllospadix iwatensis,28,1,,,,,,,,
China,CHN,Syringodium isoetifolium,43,1,,,,,,,,
China,CHN,Thalassia hemprichii,44,1,,,,,,,,
China,CHN,Zostera asiatica,48,1,,,,,,,,
China,CHN,Zostera japonica,53,1,,,,,,,,
China,CHN,Zostera subg. Zostera marina,54,1,,,,,,,,
Cocos (Keeling) Islands,CCK,Thalassia hemprichii,44,1,,,,,,,,
Cocos (Keeling) Islands,CCK,Syringodium isoetifolium,43,1,,,,,,,,
Cocos (Keeling) Islands,CCK,Thalassodendron ciliatum,46,1,,,,,,,,
Colombia,COL,Halodule wrightii,13,1,,,,,,,,
Colombia,COL,Halophila baillonis,15,1,,,,,,,,
Colombia,COL,Halophila decipiens,18,1,,,,,,,,
Colombia,COL,Syringodium filiforme,42,1,,,,,,,,
Colombia,COL,Thalassia testudinum,45,1,,,,,,,,
Comoros,COM,Cymodocea serrulata,6,1,,,,,,,,
Comoros,COM,Halodule uninervis,12,1,,,,,,,,
Comoros,COM,Halophila ovalis,23,1,,,,,,,,
Comoros,COM,Halophila stipulacea,26,1,,,,,,,,
Comoros,COM,Syringodium isoetifolium,43,1,,,,,,,,
Comoros,COM,Thalassodendron ciliatum,46,1,,,,,,,,
Costa Rica,CRI,Halodule wrightii,13,1,,,,,,,,
Costa Rica,CRI,Halophila decipiens,18,1,,,,,,,,
Costa Rica,CRI,Syringodium filiforme,42,1,,,,,,,,
Costa Rica,CRI,Thalassia testudinum,45,1,,,,,,,,
Croatia,HRV,Cymodocea nodosa,4,1,,,,,,,,
Croatia,HRV,Posidonia oceanica,38,1,,,,,,,,
Croatia,HRV,Zostera noltei,57,1,,,,,,,,
Cuba,CUB,Halodule wrightii,13,1,,,,,,,,
Cuba,CUB,Halophila engelmannii,19,1,,,,,,,,
Cuba,CUB,Halophila decipiens,18,1,,,,,,,,
Cuba,CUB,Syringodium filiforme,42,1,,,,,,,,
Cuba,CUB,Thalassia testudinum,45,1,,,,,,,,
Curaçao,CUW,Thalassia testudinum,45,1,,,,,,,,
Cyprus,CYP,Cymodocea nodosa,4,1,,,,,,,,
Cyprus,CYP,Halophila stipulacea,26,1,,,,,,,,
Cyprus,CYP,Posidonia oceanica,38,1,,,,,,,,
Denmark,DNK,Zostera subg. Zostera marina,54,1,,,,,,,,
Denmark,DNK,Zostera noltei,57,1,,,,,,,,
Denmark,DNK,Ruppia cirrhosa,62,90,,,,,,,,
Dominica,DMA,Halodule wrightii,13,1,,,,,,,,
Dominica,DMA,Halophila decipiens,18,1,,,,,,,,
Dominica,DMA,Halophila stipulacea,26,1,,,,,,,,
Dominica,DMA,Syringodium filiforme,42,1,,,,,,,,
Dominica,DMA,Thalassia testudinum,45,1,,,,,,,,
Dominican Republic,DOM,Halodule wrightii,13,1,,,,,,,,
Dominican Republic,DOM,Halophila decipiens,18,1,,,,,,,,
Dominican Republic,DOM,Syringodium filiforme,42,1,,,,,,,,
Dominican Republic,DOM,Syringodium isoetifolium,43,1,,,,,,,,
Dominican Republic,DOM,Thalassia testudinum,45,1,,,,,,,,
Egypt,EGY,Cymodocea nodosa,4,1,,,,,,,,
Egypt,EGY,Cymodocea rotundata,5,1,,,,,,,,
Egypt,EGY,Cymodocea serrulata,6,1,,,,,,,,
Egypt,EGY,Halodule uninervis,12,1,,,,,,,,
Egypt,EGY,Halophila decipiens,18,1,,,,,,,,
Egypt,EGY,Halophila ovalis,23,1,,,,,,,,
Egypt,EGY,Halophila ovata,24,1,,,,,,,,
Egypt,EGY,Halophila stipulacea,26,1,,,,,,,,
Egypt,EGY,Posidonia oceanica,38,1,,,,,,,,
Egypt,EGY,Syringodium isoetifolium,43,1,,,,,,,,
Egypt,EGY,Thalassia hemprichii,44,1,,,,,,,,
Egypt,EGY,Thalassodendron ciliatum,46,1,,,,,,,,
Eritrea,ERI,Halophila ovalis,23,1,,,,,,,,
Eritrea,ERI,Halophila stipulacea,26,1,,,,,,,,
Eritrea,ERI,Thalassia hemprichii,44,1,,,,,,,,
Estonia,EST,Zostera subg. Zostera marina,54,1,,,,,,,,
Falkland Islands,EST,Ruppia filifolia,61,90,,,,,,,,
Fiji,FJI,Halodule pinifolia,11,1,,,,,,,,
Fiji,FJI,Halodule uninervis,12,1,,,,,,,,
Fiji,FJI,Halophila minor,22,1,,,,,,,,
Fiji,FJI,Halophila ovalis,23,1,,,,,,,,
Fiji,FJI,Halophila ovata,24,1,,,,,,,,
Fiji,FJI,Syringodium isoetifolium,43,1,,,,,,,,
Finland,FIN,Zostera subg. Zostera marina,54,1,,,,,,,,
France,FRA,Cymodocea nodosa,4,1,,,,,,,,
France,FRA,Posidonia oceanica,38,1,,,,,,,,
France,FRA,Zostera subg. Zostera marina,54,1,,,,,,,,
France,FRA,Zostera noltei,57,1,,,,,,,,
France,FRA,Ruppia cirrhosa,62,90,,,,,,,,
French Polynesia,PYF,Halophila decipiens,18,1,,,,,,,,
French Polynesia,PYF,Halophila ovalis,23,1,,,,,,,,
Germany,DEU,Zostera subg. Zostera marina,54,1,,,,,,,,
Germany,DEU,Zostera noltei,57,1,,,,,,,,
Ghana,GHA,Ruppia maritima,60,1,,,,,,,,
Gibraltar,GIB,Posidonia oceanica,38,1,,,,,,,,
Gibraltar,GIB,Zostera subg. Zostera marina,54,1,,,,,,,,
Greece,GRC,Cymodocea nodosa,4,1,,,,,,,,
Greece,GRC,Halophila stipulacea,26,1,,,,,,,,
Greece,GRC,Posidonia oceanica,38,1,,,,,,,,
Greece,GRC,Zostera subg. Zostera marina,54,1,,,,,,,,
Greece,GRC,Zostera noltei,57,1,,,,,,,,
Greenland,GRL,Zostera subg. Zostera marina,54,1,,,,,,,,
Grenada,GRD,Halophila decipiens,18,1,,,,,,,,
Grenada,GRD,Thalassia testudinum,45,1,,,,,,,,
Guadeloupe,GLP,Halodule wrightii,13,1,,,,,,,,
Guadeloupe,GLP,Halophila baillonis,15,1,,,,,,,,
Guadeloupe,GLP,Halophila decipiens,18,1,,,,,,,,
Guadeloupe,GLP,Syringodium filiforme,42,1,,,,,,,,
Guadeloupe,GLP,Thalassia testudinum,45,1,,,,,,,,
Guatemala,GTM,Halodule wrightii,13,1,,,,,,,,
Guatemala,GTM,Thalassia testudinum,45,1,,,,,,,,
Guinea-Bissau,GNB,Halodule wrightii,13,1,,,,,,,,
Haiti,HTI,Halodule wrightii,13,1,,,,,,,,
Haiti,HTI,Syringodium filiforme,42,1,,,,,,,,
Haiti,HTI,Thalassia testudinum,45,1,,,,,,,,
Honduras,HND,Halodule wrightii,13,1,,,,,,,,
Honduras,HND,Thalassia testudinum,45,1,,,,,,,,
"Hong Kong Special Administrative Region of China, the",HKG,Halophila beccarii,16,1,,,,,,,,
"Hong Kong Special Administrative Region of China, the",HKG,Halophila ovata,24,1,,,,,,,,
"Hong Kong Special Administrative Region of China, the",HKG,Zostera japonica,53,1,,,,,,,,
"Hong Kong Special Administrative Region of China, the",HKG,Ruppia maritima,60,1,,,,,,,,
Iceland,ISL,Zostera subg. Zostera marina,54,1,,,,,,,,
India,IND,Cymodocea rotundata,5,1,,,,,,,,
India,IND,Cymodocea serrulata,6,1,,,,,,,,
India,IND,Enhalus acoroides,7,1,,,,,,,,
India,IND,Halodule pinifolia,11,1,,,,,,,,
India,IND,Halodule uninervis,12,1,,,,,,,,
India,IND,Halodule wrightii,13,1,,,,,,,,
India,IND,Halophila beccarii,16,1,,,,,,,,
India,IND,Halophila decipiens,18,1,,,,,,,,
India,IND,Halophila ovalis,23,1,,,,,,,,
India,IND,Halophila ovata,24,1,,,,,,,,
India,IND,Halophila stipulacea,26,1,,,,,,,,
India,IND,Syringodium isoetifolium,43,1,,,,,,,,
Indonesia,IDN,Cymodocea rotundata,5,1,,,,,,,,
Indonesia,IDN,Cymodocea serrulata,6,1,,,,,,,,
Indonesia,IDN,Enhalus acoroides,7,1,,,,,,,,
Indonesia,IDN,Halodule pinifolia,11,1,,,,,,,,
Indonesia,IDN,Halodule uninervis,12,1,,,,,,,,
Indonesia,IDN,Halophila decipiens,18,1,,,,,,,,
Indonesia,IDN,Halophila minor,22,1,,,,,,,,
Indonesia,IDN,Halophila ovalis,23,1,,,,,,,,
Indonesia,IDN,Halophila spinulosa,25,1,,,,,,,,
Indonesia,IDN,Syringodium isoetifolium,43,1,,,,,,,,
Indonesia,IDN,Thalassia hemprichii,44,1,,,,,,,,
Indonesia,IDN,Thalassodendron ciliatum,46,1,,,,,,,,
Indonesia,IDN,Thalassia hemprichii,44,1,,,,,,,,
Indonesia,IDN,Thalassodendron ciliatum,46,1,,,,,,,,
Iran (Islamic Republic Of),IRN,Halodule uninervis,12,1,,,,,,,,
Iran (Islamic Republic Of),IRN,Halophila ovalis,23,1,,,,,,,,
Ireland,IRL,Zostera subg. Zostera marina,54,1,,,,,,,,
Ireland,IRL,Zostera noltei,57,1,,,,,,,,
Ireland,IRL,Ruppia cirrhosa,62,90,,,,,,,,
Israel,ISR,Cymodocea nodosa,4,1,,,,,,,,
Israel,ISR,Halodule uninervis,12,1,,,,,,,,
Israel,ISR,Halophila ovalis,23,1,,,,,,,,
Israel,ISR,Halophila stipulacea,26,1,,,,,,,,
Israel,ISR,Posidonia oceanica,38,1,,,,,,,,
Israel,ISR,Zostera noltei,57,1,,,,,,,,
Italy,ITA,Cymodocea nodosa,4,1,,,,,,,,
Italy,ITA,Halophila stipulacea,26,1,,,,,,,,
Italy,ITA,Posidonia oceanica,38,1,,,,,,,,
Italy,ITA,Zostera subg. Zostera marina,54,1,,,,,,,,
Italy,ITA,Zostera noltei,57,1,,,,,,,,
Italy,ITA,Ruppia cirrhosa,62,90,,,,,,,,
Jamaica,JAM,Halodule wrightii,13,1,,,,,,,,
Jamaica,JAM,Halophila decipiens,18,1,,,,,,,,
Jamaica,JAM,Syringodium filiforme,42,1,,,,,,,,
Jamaica,JAM,Thalassia testudinum,45,1,,,,,,,,
Jersey,JEY,Zostera subg. Zostera marina,54,1,,,,,,,,
Jordan,JOR,Halodule uninervis,12,1,,,,,,,,
Jordan,JOR,Halophila ovalis,23,1,,,,,,,,
Jordan,JOR,Halophila stipulacea,26,1,,,,,,,,
Jordan,JOR,Thalassodendron ciliatum,46,1,,,,,,,,
Kazakhstan,KAZ,Zostera noltei,57,1,,,,,,,,
Kenya,KEN,Cymodocea rotundata,5,1,,,,,,,,
Kenya,KEN,Cymodocea serrulata,6,1,,,,,,,,
Kenya,KEN,Enhalus acoroides,7,1,,,,,,,,
Kenya,KEN,Halodule uninervis,12,1,,,,,,,,
Kenya,KEN,Halodule wrightii,13,1,,,,,,,,
Kenya,KEN,Halophila minor,22,1,,,,,,,,
Kenya,KEN,Halophila ovalis,23,1,,,,,,,,
Kenya,KEN,Halophila stipulacea,26,1,,,,,,,,
Kenya,KEN,Syringodium isoetifolium,43,1,,,,,,,,
Kenya,KEN,Thalassia hemprichii,44,1,,,,,,,,
Kenya,KEN,Thalassodendron ciliatum,46,1,,,,,,,,
Kenya,KEN,Zostera (Zosterella) capensis,50,1,,,,,,,,
Kiribati,KIR,Thalassia hemprichii,44,1,,,,,,,,
"Korea, Democratic People's Republic Of",PRK,Phyllospadix iwatensis,28,1,,,,,,,,
"Korea, Democratic People's Republic Of",PRK,Zostera asiatica,48,1,,,,,,,,
"Korea, Democratic People's Republic Of",PRK,Zostera caespitosa,49,1,,,,,,,,
"Korea, Democratic People's Republic Of",PRK,Zostera japonica,53,1,,,,,,,,
"Korea, Democratic People's Republic Of",PRK,Zostera subg. Zostera marina,54,1,,,,,,,,
"Korea, Republic Of",KOR,Phyllospadix iwatensis,28,1,,,,,,,,
"Korea, Republic Of",KOR,Phyllospadix japonicus,29,1,,,,,,,,
"Korea, Republic Of",KOR,Zostera asiatica,48,1,,,,,,,,
"Korea, Republic Of",KOR,Zostera caespitosa,49,1,,,,,,,,
"Korea, Republic Of",KOR,Zostera caulescens,52,1,,,,,,,,
"Korea, Republic Of",KOR,Zostera japonica,53,1,,,,,,,,
"Korea, Republic Of",KOR,Zostera subg. Zostera marina,54,1,,,,,,,,
Kuwait,KWT,Halodule uninervis,12,1,,,,,,,,
Kuwait,KWT,Halophila ovalis,23,1,,,,,,,,
Latvia,LVA,Zostera subg. Zostera marina,54,1,,,,,,,,
Lebanon,LBN,Cymodocea nodosa,4,1,,,,,,,,
Lebanon,LBN,Halophila stipulacea,26,1,,,,,,,,
Libya,LBY,Cymodocea nodosa,4,1,,,,,,,,
Libya,LBY,Posidonia oceanica,38,1,,,,,,,,
Libya,LBY,Zostera subg. Zostera marina,54,1,,,,,,,,
Lithuania,LTU,Zostera subg. Zostera marina,54,1,,,,,,,,
Madagascar,MDG,Cymodocea rotundata,5,1,,,,,,,,
Madagascar,MDG,Cymodocea serrulata,6,1,,,,,,,,
Madagascar,MDG,Enhalus acoroides,7,1,,,,,,,,
Madagascar,MDG,Halodule beaudettei,8,1,,,,,,,,
Madagascar,MDG,Halodule uninervis,12,1,,,,,,,,
Madagascar,MDG,Halodule wrightii,13,1,,,,,,,,
Madagascar,MDG,Halophila ovalis,23,1,,,,,,,,
Madagascar,MDG,Halophila stipulacea,26,1,,,,,,,,
Madagascar,MDG,Syringodium isoetifolium,43,1,,,,,,,,
Madagascar,MDG,Thalassia hemprichii,44,1,,,,,,,,
Madagascar,MDG,Thalassodendron ciliatum,46,1,,,,,,,,
Madagascar,MDG,Zostera (Zosterella) capensis,50,1,,,,,,,,
Malaysia,MYS,Cymodocea rotundata,5,1,,,,,,,,
Malaysia,MYS,Cymodocea serrulata,6,1,,,,,,,,
Malaysia,MYS,Enhalus acoroides,7,1,,,,,,,,
Malaysia,MYS,Halodule pinifolia,11,1,,,,,,,,
Malaysia,MYS,Halodule uninervis,12,1,,,,,,,,
Malaysia,MYS,Halophila beccarii,16,1,,,,,,,,
Malaysia,MYS,Halophila decipiens,18,1,,,,,,,,
Malaysia,MYS,Halophila minor,22,1,,,,,,,,
Malaysia,MYS,Halophila ovalis,23,1,,,,,,,,
Malaysia,MYS,Halophila spinulosa,25,1,,,,,,,,
Malaysia,MYS,Syringodium isoetifolium,43,1,,,,,,,,
Malaysia,MYS,Thalassia hemprichii,44,1,,,,,,,,
Maldives,MDV,Syringodium isoetifolium,43,1,,,,,,,,
Maldives,MDV,Thalassia hemprichii,44,1,,,,,,,,
Maldives,MDV,Thalassodendron ciliatum,46,1,,,,,,,,
Malta,MLT,Posidonia oceanica,38,1,,,,,,,,
Marshall Islands,MHL,Cymodocea rotundata,5,1,,,,,,,,
Marshall Islands,MHL,Thalassia hemprichii,44,1,,,,,,,,
Martinique,MTQ,Zostera subg. Zostera marina,54,1,,,,,,,,
Martinique,MTQ,Syringodium filiforme,42,1,,,,,,,,
Martinique,MTQ,Thalassia testudinum,45,1,,,,,,,,
Martinique,MTQ,Halophila baillonis,15,1,,,,,,,,
Martinique,MTQ,Halophila stipulacea,26,1,,,,,,,,
Martinique,MTQ,Halophila decipiens,18,1,,,,,,,,
Martinique,MTQ,Halodule beaudettei,8,1,,,,,,,,
Martinique,MTQ,Halodule wrightii,13,1,,,,,,,,
Mauritania,MRT,Cymodocea nodosa,4,1,,,,,,,,
Mauritania,MRT,Halodule wrightii,13,1,,,,,,,,
Mauritania,MRT,Zostera noltei,57,1,,,,,,,,
Mauritius,MUS,Halodule uninervis,12,1,,,,,,,,
Mauritius,MUS,Halophila decipiens,18,1,,,,,,,,
Mauritius,MUS,Halophila ovalis,23,1,,,,,,,,
Mauritius,MUS,Halophila stipulacea,26,1,,,,,,,,
Mauritius,MUS,Syringodium isoetifolium,43,1,,,,,,,,
Mauritius,MUS,Thalassia hemprichii,44,1,,,,,,,,
Mauritius,MUS,Thalassodendron ciliatum,46,1,,,,,,,,
Mayotte,MYT,Cymodocea rotundata,5,1,,,,,,,,
Mayotte,MYT,Cymodocea serrulata,6,1,,,,,,,,
Mayotte,MYT,Thalassodendron ciliatum,46,1,,,,,,,,
Mayotte,MYT,Zostera (Zosterella) capensis,50,1,,,,,,,,
Mayotte,MYT,Halodule uninervis,12,1,,,,,,,,
Mayotte,MYT,Halodule wrightii,13,1,,,,,,,,
Mayotte,MYT,Syringodium isoetifolium,43,1,,,,,,,,
Mayotte,MYT,Thalassia hemprichii,44,1,,,,,,,,
Mayotte,MYT,Enhalus acoroides,7,1,,,,,,,,
Mayotte,MYT,Halophila ovalis,23,1,,,,,,,,
Mayotte,MYT,Halophila stipulacea,26,1,,,,,,,,
Mexico,MEX,Halodule wrightii,13,1,,,,,,,,
Mexico,MEX,Halophila decipiens,18,1,,,,,,,,
Mexico,MEX,Halophila engelmannii,19,1,,,,,,,,
Mexico,MEX,Phyllospadix scouleri,30,1,,,,,,,,
Mexico,MEX,Phyllospadix torreyi,32,1,,,,,,,,
Mexico,MEX,Syringodium filiforme,42,1,,,,,,,,
Mexico,MEX,Thalassia testudinum,45,1,,,,,,,,
Mexico,MEX,Zostera subg. Zostera marina,54,1,,,,,,,,
"Micronesia, Federated States of",FSM,Cymodocea rotundata,5,1,,,,,,,,
"Micronesia, Federated States of",FSM,Cymodocea serrulata,6,1,,,,,,,,
"Micronesia, Federated States of",FSM,Enhalus acoroides,7,1,,,,,,,,
"Micronesia, Federated States of",FSM,Halodule pinifolia,11,1,,,,,,,,
"Micronesia, Federated States of",FSM,Halodule uninervis,12,1,,,,,,,,
"Micronesia, Federated States of",FSM,Halophila minor,22,1,,,,,,,,
"Micronesia, Federated States of",FSM,Halophila ovalis,23,1,,,,,,,,
"Micronesia, Federated States of",FSM,Syringodium isoetifolium,43,1,,,,,,,,
"Micronesia, Federated States of",FSM,Thalassia hemprichii,44,1,,,,,,,,
"Micronesia, Federated States of",FSM,Thalassodendron ciliatum,46,1,,,,,,,,
Monaco,MCO,Posidonia oceanica,38,1,,,,,,,,
Montenegro,MNE,Posidonia oceanica,38,1,,,,,,,,
Montserrat,MSR,Syringodium filiforme,42,1,,,,,,,,
Montserrat,MSR,Thalassia testudinum,45,1,,,,,,,,
Morocco,MAR,Cymodocea nodosa,4,1,,,,,,,,
Morocco,MAR,Posidonia oceanica,38,1,,,,,,,,
Morocco,MAR,Zostera subg. Zostera marina,54,1,,,,,,,,
Morocco,MAR,Zostera noltei,57,1,,,,,,,,
Mozambique,MOZ,Cymodocea rotundata,5,1,,,,,,,,
Mozambique,MOZ,Cymodocea serrulata,6,1,,,,,,,,
Mozambique,MOZ,Enhalus acoroides,7,1,,,,,,,,
Mozambique,MOZ,Halodule uninervis,12,1,,,,,,,,
Mozambique,MOZ,Halodule wrightii,13,1,,,,,,,,
Mozambique,MOZ,Halophila minor,22,1,,,,,,,,
Mozambique,MOZ,Halophila ovalis,23,1,,,,,,,,
Mozambique,MOZ,Halophila stipulacea,26,1,,,,,,,,
Mozambique,MOZ,Syringodium isoetifolium,43,1,,,,,,,,
Mozambique,MOZ,Thalassia hemprichii,44,1,,,,,,,,
Mozambique,MOZ,Thalassodendron ciliatum,46,1,,,,,,,,
Mozambique,MOZ,Zostera (Zosterella) capensis,50,1,,,,,,,,
Myanmar,MMR,Enhalus acoroides,7,1,,,,,,,,
Myanmar,MMR,Halodule uninervis,12,1,,,,,,,,
Myanmar,MMR,Halophila beccarii,16,1,,,,,,,,
Myanmar,MMR,Halophila decipiens,18,1,,,,,,,,
Myanmar,MMR,Halophila ovalis,23,1,,,,,,,,
Netherlands,NLD,Zostera subg. Zostera marina,54,1,,,,,,,,
Netherlands,NLD,Zostera noltei,57,1,,,,,,,,
Netherlands (Antillse),NLD,Halodule wrightii,13,1,,,,,,,,
Netherlands (Antillse),NLD,Halophila baillonis,15,1,,,,,,,,
Netherlands (Antillse),NLD,Halophila decipiens,18,1,,,,,,,,
Netherlands (Antillse),NLD,Syringodium filiforme,42,1,,,,,,,,
Netherlands (Antillse),NLD,Thalassia testudinum,45,1,,,,,,,,
New Caledonia,NCL,Cymodocea rotundata,5,1,,,,,,,,
New Caledonia,NCL,Cymodocea serrulata,6,1,,,,,,,,
New Caledonia,NCL,Enhalus acoroides,7,1,,,,,,,,
New Caledonia,NCL,Halodule pinifolia,11,1,,,,,,,,
New Caledonia,NCL,Halodule uninervis,12,1,,,,,,,,
